x-axis,1,2,3
second,Volt,Volt,Volt
-1.1035000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.1030000E+00,+18.7500E-03,+35.0000E-03,+37.5000E-03
-1.1025000E+00,+18.7500E-03,+41.2500E-03,+37.5000E-03
-1.1020000E+00,+34.3750E-03,+41.2500E-03,+53.1250E-03
-1.1015000E+00,+34.3750E-03,+41.2500E-03,+53.1250E-03
-1.1010000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.1005000E+00,+18.7500E-03,+53.7500E-03,+53.1250E-03
-1.1000000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0995000E+00,+18.7500E-03,+41.2500E-03,+37.5000E-03
-1.0990000E+00,+3.1250E-03,+53.7500E-03,+53.1250E-03
-1.0985000E+00,-12.5000E-03,+41.2500E-03,+68.7500E-03
-1.0980000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0975000E+00,+3.1250E-03,+35.0000E-03,+53.1250E-03
-1.0970000E+00,-12.5000E-03,+35.0000E-03,+37.5000E-03
-1.0965000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0960000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.0955000E+00,+3.1250E-03,+41.2500E-03,+37.5000E-03
-1.0950000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0945000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0940000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0935000E+00,+3.1250E-03,+41.2500E-03,+37.5000E-03
-1.0930000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0925000E+00,+18.7500E-03,+47.5000E-03,+37.5000E-03
-1.0920000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0915000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0910000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0905000E+00,+34.3750E-03,+35.0000E-03,+53.1250E-03
-1.0900000E+00,+3.1250E-03,+47.5000E-03,+21.8750E-03
-1.0895000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0890000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0885000E+00,+18.7500E-03,+41.2500E-03,+37.5000E-03
-1.0880000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0875000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0870000E+00,+3.1250E-03,+47.5000E-03,+53.1250E-03
-1.0865000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0860000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.0855000E+00,+3.1250E-03,+47.5000E-03,+37.5000E-03
-1.0850000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0845000E+00,+18.7500E-03,+53.7500E-03,+37.5000E-03
-1.0840000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0835000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
-1.0830000E+00,+3.1250E-03,+35.0000E-03,+53.1250E-03
-1.0825000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.0820000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0815000E+00,-12.5000E-03,+35.0000E-03,+68.7500E-03
-1.0810000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0805000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0800000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0795000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0790000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0785000E+00,+34.3750E-03,+47.5000E-03,+53.1250E-03
-1.0780000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
-1.0775000E+00,+34.3750E-03,+35.0000E-03,+68.7500E-03
-1.0770000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0765000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0760000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0755000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0750000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0745000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0740000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0735000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0730000E+00,+18.7500E-03,+60.0000E-03,+84.3750E-03
-1.0725000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0720000E+00,+18.7500E-03,+47.5000E-03,+84.3750E-03
-1.0715000E+00,+34.3750E-03,+41.2500E-03,+53.1250E-03
-1.0710000E+00,+18.7500E-03,+47.5000E-03,+84.3750E-03
-1.0705000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0700000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0695000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0690000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0685000E+00,+3.1250E-03,+47.5000E-03,+53.1250E-03
-1.0680000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0675000E+00,+18.7500E-03,+47.5000E-03,+84.3750E-03
-1.0670000E+00,+3.1250E-03,+47.5000E-03,+53.1250E-03
-1.0665000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0660000E+00,+3.1250E-03,+41.2500E-03,+100.0000E-03
-1.0655000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0650000E+00,-12.5000E-03,+47.5000E-03,+68.7500E-03
-1.0645000E+00,+34.3750E-03,+47.5000E-03,+68.7500E-03
-1.0640000E+00,+18.7500E-03,+35.0000E-03,+53.1250E-03
-1.0635000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0630000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0625000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0620000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0615000E+00,+18.7500E-03,+53.7500E-03,+84.3750E-03
-1.0610000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0605000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0600000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0595000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0590000E+00,+3.1250E-03,+41.2500E-03,+84.3750E-03
-1.0585000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0580000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.0575000E+00,+3.1250E-03,+53.7500E-03,+84.3750E-03
-1.0570000E+00,+34.3750E-03,+47.5000E-03,+53.1250E-03
-1.0565000E+00,+18.7500E-03,+41.2500E-03,+100.0000E-03
-1.0560000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0555000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0550000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0545000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
-1.0540000E+00,+18.7500E-03,+53.7500E-03,+84.3750E-03
-1.0535000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0530000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.0525000E+00,+18.7500E-03,+35.0000E-03,+68.7500E-03
-1.0520000E+00,+18.7500E-03,+35.0000E-03,+84.3750E-03
-1.0515000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0510000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0505000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0500000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0495000E+00,+18.7500E-03,+53.7500E-03,+53.1250E-03
-1.0490000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0485000E+00,-12.5000E-03,+47.5000E-03,+68.7500E-03
-1.0480000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0475000E+00,+3.1250E-03,+41.2500E-03,+84.3750E-03
-1.0470000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0465000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0460000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0455000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0450000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0445000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0440000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0435000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0430000E+00,+18.7500E-03,+53.7500E-03,+68.7500E-03
-1.0425000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
