PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[0, 65]","[2, 154]","[2, 162]","[3, 24]","[2, 131]","[1, 199]","[0, 189]","[4, 188]","[2, 58]","[4, 17]","[4, 65]",1.0,
"[3, 92]","[1, 253]","[3, 248]","[1, 136]","[2, 144]","[4, 91]","[1, 206]","[3, 170]","[0, 37]","[1, 68]","[2, 67]",0.999,
"[2, 136]","[1, 243]","[1, 229]","[3, 104]","[0, 50]","[2, 214]","[0, 65]","[0, 43]","[1, 208]","[2, 111]","[1, 215]",1.0,
"[1, 164]","[0, 41]","[2, 211]","[4, 236]","[3, 199]","[0, 22]","[2, 51]","[2, 93]","[2, 238]","[3, 110]","[1, 144]",1.0,
"[4, 119]","[4, 230]","[2, 25]","[3, 128]","[2, 161]","[1, 104]","[3, 80]","[0, 211]","[4, 221]","[2, 48]","[4, 150]",1.105,0.04
"[3, 148]","[3, 79]","[3, 96]","[4, 252]","[2, 68]","[0, 47]","[2, 37]","[2, 242]","[3, 10]","[4, 95]","[0, 23]",1.0,0.269
"[2, 54]","[4, 239]","[0, 125]","[2, 66]","[3, 228]","[0, 161]","[3, 13]","[2, 131]","[1, 162]","[2, 137]","[2, 55]",1.0,
"[3, 45]","[4, 230]","[0, 170]","[1, 123]","[2, 100]","[0, 58]","[1, 31]","[2, 131]","[0, 69]","[2, 165]","[3, 129]",1.0,
"[2, 230]","[2, 105]","[1, 131]","[2, 172]","[2, 180]","[0, 16]","[1, 65]","[0, 88]","[4, 124]","[3, 22]","[2, 185]",1.0,
"[0, 192]","[2, 232]","[2, 170]","[0, 183]","[1, 135]","[1, 177]","[0, 51]","[1, 210]","[0, 164]","[2, 160]","[0, 249]",1.0,
"[3, 57]","[1, 153]","[4, 81]","[3, 229]","[0, 72]","[3, 251]","[4, 221]","[3, 176]","[2, 184]","[0, 215]","[2, 114]",0.997,0.023
"[2, 44]","[0, 11]","[1, 231]","[2, 49]","[2, 221]","[2, 88]","[2, 174]","[1, 162]","[3, 125]","[1, 103]","[1, 32]",1.0,
"[2, 56]","[1, 147]","[3, 197]","[3, 23]","[3, 117]","[1, 105]","[4, 173]","[4, 238]","[2, 235]","[1, 118]","[4, 101]",0.997,
"[2, 51]","[0, 236]","[3, 192]","[0, 49]","[4, 117]","[1, 239]","[0, 204]","[2, 117]","[2, 251]","[1, 212]","[1, 28]",1.0,
"[3, 13]","[3, 93]","[1, 175]","[3, 183]","[0, 35]","[2, 251]","[2, 61]","[2, 141]","[0, 63]","[1, 230]","[1, 80]",1.0,
"[4, 213]","[1, 124]","[4, 34]","[2, 94]","[4, 244]","[4, 118]","[1, 150]","[0, 176]","[3, 201]","[3, 104]","[1, 154]",1.0,0.154
"[2, 189]","[2, 251]","[2, 13]","[3, 146]","[4, 32]","[1, 150]","[0, 224]","[2, 202]","[2, 231]","[4, 174]","[0, 160]",1.0,
"[2, 124]","[4, 129]","[4, 247]","[3, 84]","[3, 78]","[3, 55]","[2, 228]","[3, 60]","[2, 220]","[4, 158]","[2, 241]",0.999,
"[2, 36]","[1, 211]","[1, 204]","[2, 70]","[4, 215]","[4, 128]","[2, 128]","[4, 63]","[0, 47]","[3, 208]","[1, 141]",1.0,
"[4, 25]","[2, 208]","[0, 110]","[3, 60]","[0, 32]","[3, 240]","[4, 20]","[1, 235]","[1, 43]","[4, 113]","[3, 224]",0.999,0.206
"[0, 185]","[1, 31]","[4, 233]","[2, 62]","[4, 235]","[2, 249]","[3, 185]","[4, 232]","[4, 138]","[4, 70]","[2, 128]",0.996,
"[1, 211]","[1, 188]","[4, 77]","[4, 123]","[3, 80]","[4, 234]","[3, 93]","[2, 236]","[0, 106]","[3, 172]","[0, 153]",0.998,
"[0, 240]","[0, 205]","[4, 122]","[1, 47]","[2, 215]","[3, 223]","[2, 239]","[0, 59]","[4, 117]","[1, 95]","[3, 122]",1.0,
"[1, 26]","[1, 233]","[2, 217]","[1, 201]","[1, 116]","[2, 230]","[2, 128]","[0, 50]","[2, 178]","[0, 208]","[0, 137]",1.0,
"[3, 117]","[4, 29]","[4, 165]","[1, 153]","[0, 25]","[1, 55]","[0, 22]","[3, 20]","[4, 227]","[0, 228]","[3, 201]",1.0,
"[2, 74]","[4, 131]","[0, 71]","[3, 207]","[1, 11]","[4, 38]","[0, 222]","[0, 188]","[0, 106]","[2, 75]","[4, 133]",1.0,
"[1, 211]","[2, 58]","[1, 253]","[4, 144]","[0, 93]","[3, 127]","[2, 207]","[1, 33]","[3, 242]","[2, 196]","[0, 180]",1.0,
"[4, 206]","[2, 233]","[1, 142]","[0, 240]","[1, 85]","[4, 233]","[2, 80]","[1, 74]","[2, 103]","[0, 75]","[0, 39]",1.0,
"[3, 209]","[3, 180]","[0, 147]","[4, 103]","[2, 77]","[0, 101]","[2, 145]","[4, 165]","[4, 101]","[3, 254]","[3, 102]",1.0,0.221
"[0, 102]","[2, 156]","[0, 48]","[3, 19]","[2, 223]","[4, 222]","[1, 230]","[1, 87]","[0, 180]","[0, 159]","[4, 227]",1.0,
"[0, 216]","[1, 84]","[3, 91]","[4, 208]","[1, 39]","[4, 184]","[2, 214]","[1, 208]","[2, 110]","[2, 235]","[3, 252]",1.0,
"[2, 175]","[1, 198]","[2, 47]","[3, 29]","[0, 86]","[4, 157]","[2, 210]","[3, 113]","[4, 142]","[2, 101]","[0, 174]",1.0,
"[1, 211]","[1, 92]","[3, 202]","[3, 79]","[3, 46]","[2, 141]","[1, 43]","[2, 47]","[2, 19]","[0, 133]","[2, 200]",1.0,
"[2, 97]","[4, 77]","[4, 44]","[4, 238]","[3, 49]","[2, 244]","[4, 85]","[4, 186]","[0, 175]","[4, 36]","[1, 187]",1.0,
"[3, 37]","[1, 68]","[1, 220]","[2, 249]","[3, 222]","[4, 54]","[1, 188]","[3, 81]","[0, 140]","[3, 212]","[0, 32]",1.0,
"[1, 214]","[1, 171]","[2, 172]","[1, 45]","[4, 59]","[1, 119]","[1, 60]","[1, 132]","[2, 76]","[3, 236]","[0, 21]",1.0,
"[0, 150]","[2, 245]","[4, 42]","[1, 163]","[4, 239]","[0, 32]","[4, 201]","[4, 182]","[3, 239]","[2, 189]","[1, 115]",1.0,
"[3, 140]","[1, 190]","[4, 240]","[1, 164]","[0, 171]","[4, 66]","[1, 190]","[4, 226]","[0, 86]","[2, 25]","[3, 186]",0.551,0.056
"[2, 86]","[1, 20]","[0, 236]","[0, 250]","[3, 157]","[4, 180]","[1, 158]","[3, 145]","[2, 161]","[1, 109]","[1, 201]",1.0,
"[1, 251]","[2, 178]","[0, 24]","[4, 74]","[2, 134]","[3, 148]","[1, 156]","[4, 40]","[1, 212]","[1, 199]","[3, 168]",1.0,
"[1, 242]","[2, 97]","[4, 209]","[0, 106]","[3, 223]","[3, 74]","[4, 195]","[2, 238]","[2, 44]","[2, 54]","[3, 215]",0.999,
"[2, 158]","[4, 125]","[4, 44]","[2, 102]","[2, 172]","[2, 37]","[0, 147]","[1, 129]","[3, 251]","[4, 156]","[2, 15]",1.0,
"[2, 85]","[4, 196]","[1, 82]","[4, 161]","[4, 106]","[1, 205]","[4, 166]","[3, 113]","[1, 233]","[0, 225]","[4, 187]",1.0,
"[2, 77]","[0, 83]","[1, 81]","[4, 179]","[2, 139]","[1, 124]","[4, 85]","[3, 124]","[2, 220]","[4, 192]","[4, 161]",1.0,
"[2, 58]","[3, 184]","[1, 40]","[4, 250]","[2, 175]","[1, 190]","[0, 211]","[4, 83]","[0, 243]","[0, 101]","[2, 95]",1.0,
"[0, 245]","[0, 110]","[3, 89]","[0, 52]","[4, 145]","[1, 241]","[4, 32]","[2, 138]","[4, 152]","[2, 159]","[0, 86]",0.999,
"[1, 239]","[4, 234]","[3, 190]","[3, 20]","[1, 228]","[0, 143]","[0, 87]","[4, 90]","[3, 24]","[1, 103]","[1, 124]",1.0,
"[2, 157]","[3, 239]","[1, 218]","[0, 103]","[3, 198]","[2, 225]","[2, 70]","[1, 147]","[1, 233]","[4, 162]","[4, 17]",1.0,
"[3, 156]","[1, 193]","[4, 122]","[0, 90]","[0, 76]","[3, 78]","[3, 113]","[0, 29]","[0, 169]","[1, 100]","[2, 133]",1.0,
"[3, 231]","[1, 52]","[4, 82]","[1, 248]","[0, 196]","[4, 29]","[4, 77]","[4, 168]","[1, 71]","[3, 108]","[0, 86]",1.0,
"[4, 222]","[4, 144]","[0, 114]","[4, 39]","[2, 222]","[1, 159]","[1, 11]","[3, 253]","[0, 202]","[2, 52]","[0, 188]",0.988,0.147
"[1, 191]","[3, 36]","[1, 63]","[0, 204]","[4, 241]","[4, 154]","[4, 127]","[0, 72]","[1, 52]","[4, 121]","[2, 105]",1.0,
"[1, 44]","[0, 206]","[2, 223]","[0, 177]","[1, 109]","[3, 59]","[4, 156]","[4, 204]","[1, 208]","[2, 39]","[1, 192]",0.998,
"[4, 131]","[1, 194]","[2, 141]","[0, 219]","[0, 13]","[3, 11]","[0, 64]","[0, 64]","[2, 66]","[1, 168]","[2, 148]",1.0,
"[2, 157]","[3, 210]","[0, 157]","[3, 108]","[1, 222]","[3, 49]","[2, 198]","[3, 126]","[1, 22]","[4, 154]","[2, 10]",0.998,
"[1, 242]","[2, 65]","[3, 107]","[0, 184]","[2, 206]","[2, 121]","[2, 76]","[1, 254]","[1, 98]","[0, 99]","[1, 52]",1.0,
"[0, 170]","[2, 19]","[1, 193]","[3, 42]","[0, 247]","[0, 138]","[4, 127]","[4, 49]","[4, 254]","[0, 65]","[1, 143]",1.0,
"[3, 44]","[4, 224]","[4, 156]","[1, 101]","[0, 164]","[2, 25]","[0, 219]","[1, 176]","[3, 27]","[3, 161]","[3, 211]",1.0,
"[4, 180]","[4, 39]","[0, 200]","[2, 189]","[1, 183]","[0, 203]","[0, 216]","[0, 142]","[1, 167]","[4, 102]","[2, 63]",1.0,0.168
"[4, 59]","[1, 111]","[3, 27]","[2, 183]","[3, 141]","[0, 34]","[0, 85]","[4, 84]","[0, 88]","[1, 31]","[1, 213]",0.997,0.073
"[0, 218]","[0, 141]","[4, 180]","[3, 95]","[1, 221]","[0, 132]","[0, 230]","[2, 97]","[1, 80]","[2, 13]","[0, 254]",1.0,
"[4, 58]","[2, 16]","[1, 242]","[1, 251]","[2, 182]","[3, 208]","[3, 140]","[1, 225]","[1, 133]","[0, 151]","[0, 201]",1.0,
"[1, 39]","[4, 118]","[3, 164]","[1, 235]","[1, 44]","[0, 38]","[0, 73]","[4, 184]","[0, 142]","[4, 169]","[1, 161]",1.0,
"[3, 214]","[2, 144]","[1, 70]","[1, 251]","[4, 240]","[0, 122]","[0, 205]","[0, 242]","[1, 84]","[0, 207]","[2, 60]",0.996,
"[3, 107]","[3, 135]","[1, 57]","[2, 36]","[3, 38]","[4, 226]","[4, 140]","[2, 83]","[3, 104]","[3, 34]","[3, 245]",0.935,0.107
"[0, 113]","[0, 64]","[2, 38]","[3, 136]","[0, 131]","[2, 56]","[0, 214]","[4, 249]","[1, 148]","[0, 216]","[3, 64]",1.0,
"[0, 77]","[1, 39]","[1, 21]","[0, 45]","[1, 125]","[4, 205]","[3, 196]","[2, 11]","[1, 227]","[2, 95]","[1, 86]",1.0,
"[3, 254]","[0, 234]","[1, 44]","[2, 57]","[2, 97]","[0, 12]","[3, 221]","[4, 178]","[4, 104]","[0, 68]","[4, 190]",0.601,0.036
"[1, 13]","[4, 246]","[0, 117]","[4, 29]","[2, 118]","[1, 171]","[0, 36]","[2, 159]","[4, 209]","[0, 135]","[1, 124]",1.0,
"[4, 82]","[4, 245]","[0, 35]","[3, 108]","[4, 209]","[0, 235]","[0, 56]","[1, 43]","[3, 115]","[0, 149]","[2, 168]",1.0,
"[2, 40]","[2, 200]","[0, 105]","[3, 204]","[4, 134]","[0, 211]","[2, 241]","[3, 85]","[4, 169]","[0, 108]","[4, 43]",1.0,
"[2, 140]","[4, 43]","[0, 123]","[1, 16]","[0, 130]","[3, 218]","[4, 218]","[0, 153]","[3, 32]","[3, 223]","[0, 147]",1.0,
"[1, 75]","[3, 235]","[3, 130]","[0, 84]","[2, 159]","[3, 141]","[2, 150]","[1, 76]","[4, 195]","[4, 126]","[3, 89]",0.989,
"[4, 41]","[2, 40]","[1, 35]","[4, 47]","[1, 74]","[0, 184]","[1, 165]","[0, 134]","[4, 142]","[1, 180]","[2, 40]",0.976,0.034
"[4, 159]","[1, 239]","[0, 48]","[4, 176]","[2, 40]","[1, 204]","[0, 19]","[4, 146]","[3, 59]","[2, 103]","[2, 120]",1.0,0.142
"[1, 93]","[0, 10]","[3, 233]","[0, 82]","[1, 238]","[1, 98]","[3, 233]","[1, 214]","[1, 172]","[2, 42]","[2, 22]",1.0,
"[2, 158]","[1, 125]","[1, 159]","[3, 47]","[3, 194]","[3, 202]","[4, 155]","[1, 137]","[3, 200]","[3, 142]","[1, 166]",1.0,
"[1, 78]","[3, 179]","[3, 151]","[3, 63]","[4, 84]","[1, 144]","[2, 239]","[4, 140]","[1, 173]","[1, 138]","[1, 51]",1.0,
"[0, 91]","[0, 122]","[3, 144]","[3, 230]","[4, 193]","[4, 49]","[0, 238]","[4, 245]","[3, 189]","[2, 136]","[4, 80]",1.0,
"[2, 61]","[4, 97]","[4, 35]","[4, 226]","[0, 219]","[0, 215]","[0, 233]","[0, 37]","[4, 207]","[4, 53]","[4, 91]",1.0,
"[4, 124]","[2, 87]","[1, 58]","[2, 134]","[4, 201]","[3, 111]","[4, 155]","[1, 22]","[1, 33]","[0, 58]","[0, 243]",0.997,
"[3, 126]","[4, 76]","[2, 242]","[0, 148]","[2, 142]","[4, 72]","[0, 63]","[4, 187]","[0, 110]","[0, 154]","[2, 17]",1.0,
"[4, 150]","[0, 158]","[1, 67]","[4, 113]","[1, 150]","[1, 124]","[4, 113]","[0, 239]","[1, 105]","[4, 190]","[4, 119]",1.0,0.155
"[3, 93]","[3, 177]","[4, 37]","[4, 164]","[2, 60]","[3, 121]","[4, 56]","[3, 205]","[0, 16]","[0, 93]","[2, 172]",1.0,0.058
"[4, 105]","[4, 197]","[4, 82]","[1, 45]","[2, 25]","[3, 57]","[2, 53]","[4, 139]","[3, 185]","[0, 108]","[1, 75]",0.997,0.054
"[3, 70]","[1, 200]","[2, 229]","[1, 156]","[1, 210]","[4, 148]","[3, 154]","[1, 73]","[3, 201]","[3, 129]","[4, 226]",0.865,
"[4, 168]","[1, 139]","[2, 18]","[0, 34]","[3, 49]","[3, 125]","[3, 221]","[2, 202]","[2, 133]","[1, 218]","[4, 169]",0.982,0.01
"[1, 60]","[4, 193]","[4, 196]","[0, 74]","[1, 241]","[4, 170]","[3, 113]","[0, 251]","[4, 103]","[0, 157]","[2, 161]",1.0,
"[1, 91]","[3, 74]","[0, 148]","[4, 148]","[3, 239]","[2, 81]","[2, 206]","[4, 208]","[3, 55]","[1, 178]","[1, 185]",1.0,
"[4, 252]","[2, 180]","[2, 115]","[3, 156]","[0, 213]","[1, 21]","[1, 58]","[2, 52]","[4, 48]","[3, 109]","[4, 126]",0.545,0.067
"[3, 228]","[2, 117]","[4, 106]","[0, 234]","[4, 107]","[0, 98]","[3, 51]","[2, 197]","[2, 242]","[4, 195]","[4, 100]",0.991,
"[4, 217]","[4, 72]","[2, 236]","[2, 190]","[3, 173]","[2, 162]","[4, 156]","[3, 88]","[3, 39]","[1, 163]","[0, 83]",0.998,0.062
"[0, 96]","[4, 15]","[1, 24]","[4, 117]","[1, 152]","[0, 209]","[2, 24]","[4, 220]","[3, 125]","[0, 194]","[3, 231]",1.0,
"[3, 87]","[3, 190]","[0, 91]","[1, 137]","[0, 14]","[1, 26]","[2, 87]","[0, 162]","[0, 109]","[4, 137]","[3, 188]",1.0,
"[1, 203]","[0, 202]","[1, 192]","[4, 210]","[1, 144]","[2, 24]","[1, 102]","[0, 39]","[0, 142]","[1, 64]","[3, 118]",1.0,
"[4, 126]","[0, 32]","[1, 127]","[2, 244]","[4, 100]","[4, 36]","[3, 89]","[3, 181]","[2, 177]","[0, 206]","[0, 103]",0.986,0.029
"[0, 86]","[4, 118]","[4, 251]","[2, 93]","[3, 216]","[1, 109]","[3, 187]","[0, 45]","[1, 133]","[2, 78]","[4, 104]",1.0,
"[0, 95]","[0, 182]","[1, 35]","[0, 202]","[4, 151]","[4, 57]","[1, 201]","[3, 163]","[2, 21]","[4, 234]","[3, 138]",1.0,
"[4, 139]","[3, 41]","[4, 131]","[0, 19]","[2, 105]","[1, 139]","[3, 30]","[2, 96]","[1, 222]","[1, 31]","[4, 139]",1.0,
"[4, 132]","[1, 74]","[1, 110]","[4, 110]","[0, 40]","[0, 47]","[1, 57]","[1, 146]","[3, 25]","[1, 205]","[4, 37]",0.987,0.054
"[0, 98]","[2, 240]","[2, 30]","[3, 101]","[0, 19]","[2, 205]","[3, 188]","[4, 226]","[1, 120]","[0, 40]","[3, 22]",1.0,
"[2, 21]","[3, 107]","[2, 182]","[1, 181]","[1, 119]","[2, 119]","[0, 75]","[4, 221]","[1, 72]","[0, 178]","[3, 225]",1.0,
"[3, 84]","[0, 220]","[4, 244]","[3, 234]","[4, 36]","[2, 175]","[0, 189]","[4, 116]","[4, 154]","[4, 254]","[0, 50]",0.739,0.085
"[1, 62]","[2, 72]","[1, 206]","[2, 65]","[1, 148]","[1, 22]","[1, 156]","[2, 46]","[1, 208]","[1, 45]","[0, 57]",1.0,
"[0, 211]","[2, 26]","[4, 65]","[0, 146]","[1, 157]","[0, 13]","[0, 25]","[2, 81]","[0, 205]","[2, 116]","[1, 27]",1.0,
"[2, 44]","[4, 140]","[3, 222]","[2, 30]","[3, 23]","[2, 224]","[0, 50]","[0, 36]","[3, 145]","[0, 106]","[4, 17]",1.0,
"[2, 142]","[2, 59]","[3, 152]","[0, 30]","[4, 70]","[1, 64]","[1, 189]","[0, 18]","[3, 183]","[3, 70]","[2, 212]",1.0,
"[1, 96]","[0, 52]","[3, 135]","[3, 188]","[1, 165]","[2, 136]","[3, 28]","[2, 61]","[0, 44]","[1, 216]","[1, 240]",1.0,
"[0, 215]","[1, 127]","[0, 107]","[2, 174]","[4, 118]","[4, 81]","[0, 219]","[2, 20]","[3, 127]","[4, 210]","[3, 221]",1.0,
"[4, 61]","[3, 206]","[1, 142]","[4, 106]","[2, 243]","[1, 130]","[2, 47]","[3, 120]","[3, 24]","[2, 110]","[0, 251]",0.988,0.144
"[4, 150]","[2, 170]","[1, 183]","[4, 197]","[4, 113]","[0, 81]","[3, 52]","[0, 131]","[1, 59]","[2, 195]","[4, 17]",0.966,0.113
"[0, 175]","[1, 101]","[0, 143]","[0, 208]","[3, 22]","[3, 209]","[0, 249]","[1, 68]","[3, 71]","[3, 40]","[1, 166]",1.0,
"[0, 144]","[0, 161]","[1, 181]","[1, 52]","[3, 113]","[1, 64]","[3, 241]","[4, 33]","[3, 173]","[4, 97]","[3, 253]",0.993,
"[2, 248]","[0, 227]","[4, 16]","[2, 15]","[4, 151]","[0, 94]","[0, 217]","[3, 228]","[4, 158]","[1, 41]","[2, 250]",1.0,
"[4, 206]","[4, 52]","[4, 174]","[3, 95]","[3, 44]","[1, 149]","[3, 161]","[4, 171]","[2, 61]","[4, 123]","[2, 189]",0.984,0.203
"[0, 140]","[2, 122]","[0, 199]","[2, 12]","[0, 137]","[1, 58]","[2, 43]","[0, 50]","[0, 237]","[0, 252]","[4, 251]",1.0,
"[3, 204]","[0, 139]","[4, 73]","[4, 138]","[4, 76]","[4, 154]","[2, 73]","[0, 242]","[4, 165]","[2, 86]","[2, 77]",0.926,0.033
"[1, 18]","[4, 147]","[0, 141]","[1, 146]","[2, 154]","[4, 116]","[1, 179]","[3, 100]","[4, 141]","[4, 100]","[0, 222]",1.0,
"[1, 104]","[2, 148]","[3, 118]","[3, 130]","[2, 106]","[3, 79]","[1, 220]","[1, 23]","[0, 250]","[0, 16]","[3, 238]",1.0,
"[4, 60]","[0, 42]","[0, 54]","[4, 61]","[4, 122]","[2, 33]","[4, 135]","[3, 200]","[0, 132]","[4, 129]","[1, 138]",0.985,0.182
"[2, 47]","[3, 162]","[0, 238]","[1, 172]","[2, 127]","[4, 107]","[1, 41]","[1, 231]","[1, 141]","[0, 224]","[0, 53]",1.0,
"[1, 49]","[4, 72]","[1, 140]","[1, 49]","[0, 163]","[0, 54]","[1, 100]","[0, 217]","[3, 191]","[3, 139]","[3, 52]",1.0,
"[1, 33]","[1, 35]","[4, 240]","[4, 13]","[2, 47]","[4, 39]","[4, 94]","[3, 251]","[4, 75]","[4, 206]","[4, 223]",0.946,
"[3, 165]","[2, 213]","[3, 225]","[4, 52]","[3, 172]","[2, 216]","[2, 221]","[3, 185]","[2, 195]","[4, 170]","[4, 194]",0.973,0.294
"[0, 85]","[2, 227]","[1, 92]","[0, 30]","[4, 143]","[4, 236]","[2, 189]","[3, 93]","[4, 206]","[1, 237]","[3, 144]",1.0,
"[0, 159]","[0, 186]","[4, 35]","[3, 105]","[4, 241]","[3, 185]","[2, 41]","[2, 16]","[0, 143]","[2, 226]","[2, 33]",1.0,
"[4, 112]","[3, 137]","[0, 91]","[0, 152]","[2, 210]","[3, 180]","[2, 233]","[3, 194]","[4, 137]","[4, 38]","[2, 107]",1.0,0.24
"[0, 43]","[3, 159]","[0, 75]","[4, 130]","[1, 89]","[4, 211]","[3, 106]","[2, 189]","[1, 227]","[0, 173]","[2, 102]",1.0,
"[3, 205]","[0, 212]","[3, 178]","[3, 124]","[4, 42]","[2, 62]","[3, 226]","[0, 208]","[2, 207]","[1, 154]","[3, 222]",0.999,0.063
"[4, 182]","[1, 185]","[0, 166]","[1, 34]","[1, 162]","[1, 64]","[2, 217]","[2, 142]","[2, 21]","[2, 67]","[2, 216]",0.996,0.157
"[4, 168]","[0, 91]","[0, 228]","[3, 207]","[0, 46]","[0, 244]","[4, 34]","[4, 54]","[2, 63]","[3, 16]","[4, 193]",0.957,0.079
"[3, 92]","[4, 21]","[2, 246]","[4, 229]","[1, 101]","[4, 52]","[2, 240]","[1, 117]","[1, 22]","[1, 105]","[4, 48]",0.998,0.09
"[1, 19]","[3, 105]","[3, 119]","[2, 225]","[3, 191]","[0, 20]","[3, 138]","[2, 161]","[1, 55]","[2, 105]","[2, 223]",1.0,
"[4, 57]","[1, 50]","[2, 88]","[2, 151]","[3, 179]","[1, 200]","[4, 117]","[4, 181]","[2, 111]","[2, 194]","[3, 126]",0.989,0.17
"[4, 10]","[4, 120]","[3, 45]","[3, 215]","[0, 232]","[0, 218]","[3, 54]","[4, 97]","[0, 90]","[0, 224]","[4, 63]",0.994,0.225
"[2, 156]","[1, 18]","[1, 191]","[0, 88]","[2, 102]","[4, 151]","[1, 31]","[1, 128]","[2, 31]","[2, 201]","[3, 245]",1.0,
"[2, 34]","[0, 58]","[3, 56]","[0, 103]","[1, 165]","[0, 113]","[3, 129]","[0, 156]","[1, 113]","[3, 154]","[2, 147]",0.999,
"[0, 72]","[0, 146]","[2, 161]","[4, 56]","[2, 212]","[2, 187]","[3, 248]","[4, 88]","[1, 17]","[2, 79]","[4, 225]",0.999,
"[2, 107]","[3, 111]","[3, 233]","[2, 105]","[4, 74]","[2, 108]","[1, 231]","[4, 127]","[3, 88]","[1, 95]","[1, 169]",1.0,
"[4, 16]","[2, 114]","[2, 25]","[2, 237]","[0, 90]","[4, 181]","[2, 26]","[3, 21]","[0, 139]","[4, 12]","[1, 249]",0.998,0.234
"[2, 119]","[3, 192]","[0, 239]","[3, 220]","[1, 29]","[0, 152]","[3, 159]","[0, 220]","[0, 188]","[2, 136]","[3, 120]",1.0,
"[2, 28]","[4, 99]","[1, 238]","[2, 253]","[2, 216]","[1, 167]","[2, 149]","[4, 235]","[4, 153]","[3, 22]","[2, 86]",1.0,
