PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[4, 118]","[4, 109]","[3, 105]","[0, 106]","[4, 73]","[2, 139]","[4, 75]","[3, 191]","[0, 216]","[2, 102]","[4, 231]",0.989,0.18
"[0, 148]","[2, 77]","[2, 133]","[2, 121]","[3, 52]","[2, 86]","[2, 23]","[1, 207]","[0, 124]","[0, 205]","[0, 181]",1.0,
"[1, 112]","[1, 16]","[1, 72]","[3, 253]","[1, 42]","[3, 83]","[3, 246]","[3, 95]","[4, 112]","[2, 32]","[0, 155]",1.0,
"[3, 10]","[0, 59]","[3, 12]","[3, 139]","[4, 97]","[1, 95]","[1, 146]","[3, 148]","[1, 254]","[3, 50]","[3, 151]",1.0,
"[4, 32]","[2, 239]","[3, 28]","[1, 40]","[3, 13]","[2, 30]","[0, 184]","[3, 112]","[3, 30]","[0, 106]","[3, 164]",1.0,
"[0, 166]","[1, 136]","[2, 226]","[4, 208]","[0, 66]","[1, 149]","[3, 234]","[2, 222]","[0, 149]","[1, 126]","[3, 84]",1.0,
"[0, 196]","[1, 61]","[2, 231]","[1, 170]","[3, 88]","[1, 40]","[4, 233]","[0, 152]","[3, 239]","[2, 25]","[4, 147]",0.784,
"[1, 242]","[1, 110]","[1, 212]","[1, 139]","[2, 159]","[1, 237]","[2, 180]","[1, 69]","[1, 27]","[4, 206]","[1, 202]",0.995,
"[0, 15]","[0, 205]","[0, 191]","[0, 160]","[0, 174]","[4, 43]","[0, 70]","[0, 131]","[1, 18]","[4, 199]","[2, 11]",1.0,
"[3, 137]","[4, 171]","[2, 164]","[4, 155]","[1, 101]","[2, 144]","[3, 183]","[2, 95]","[1, 214]","[4, 141]","[2, 15]",1.0,0.234
"[3, 92]","[2, 77]","[4, 177]","[2, 138]","[1, 18]","[4, 236]","[3, 241]","[2, 17]","[2, 20]","[4, 98]","[1, 43]",1.0,
"[2, 228]","[0, 13]","[4, 123]","[1, 179]","[3, 163]","[0, 160]","[0, 61]","[0, 126]","[3, 181]","[1, 176]","[1, 43]",1.0,
"[4, 166]","[0, 59]","[0, 189]","[0, 221]","[1, 239]","[3, 76]","[2, 183]","[0, 240]","[0, 165]","[0, 182]","[4, 115]",1.0,
"[3, 169]","[2, 111]","[2, 222]","[2, 198]","[4, 140]","[3, 149]","[1, 113]","[3, 194]","[3, 97]","[1, 132]","[0, 156]",0.996,0.184
"[4, 34]","[1, 98]","[2, 124]","[0, 77]","[1, 48]","[4, 60]","[2, 115]","[2, 138]","[1, 236]","[2, 72]","[3, 188]",1.0,
"[0, 147]","[1, 165]","[0, 112]","[2, 211]","[0, 228]","[1, 94]","[0, 27]","[2, 149]","[3, 158]","[0, 188]","[2, 106]",1.0,
"[0, 50]","[2, 106]","[0, 228]","[0, 25]","[2, 200]","[2, 226]","[4, 58]","[0, 172]","[3, 215]","[3, 69]","[2, 158]",0.997,
"[4, 22]","[0, 158]","[0, 62]","[0, 139]","[1, 156]","[3, 225]","[1, 239]","[1, 237]","[1, 168]","[0, 156]","[4, 34]",1.0,
"[4, 221]","[1, 168]","[1, 156]","[1, 141]","[3, 130]","[0, 146]","[1, 106]","[2, 91]","[0, 117]","[0, 141]","[1, 83]",1.0,
"[4, 99]","[3, 191]","[1, 16]","[0, 105]","[3, 197]","[2, 236]","[3, 101]","[2, 69]","[4, 73]","[4, 73]","[0, 64]",0.999,0.312
"[4, 138]","[0, 99]","[4, 151]","[2, 185]","[0, 234]","[0, 140]","[1, 67]","[4, 84]","[3, 58]","[3, 27]","[4, 43]",0.98,0.109
"[4, 206]","[2, 92]","[0, 96]","[4, 87]","[3, 172]","[0, 24]","[1, 20]","[2, 223]","[0, 138]","[0, 253]","[1, 37]",0.989,0.025
"[1, 189]","[1, 97]","[3, 116]","[2, 123]","[1, 248]","[3, 167]","[3, 162]","[3, 61]","[3, 210]","[4, 203]","[3, 147]",1.0,
