PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[3, 112]","[2, 226]","[4, 172]","[4, 161]","[2, 117]","[2, 23]","[1, 96]","[0, 117]","[1, 43]","[4, 128]","[0, 55]",0.662,0,0,0.11,0.53
"[3, 112]","[2, 24]","[4, 32]","[4, 115]","[2, 168]","[2, 254]","[1, 233]","[0, 118]","[1, 23]","[4, 135]","[0, 67]",0.6625,0,0,0.12,0.53
"[3, 72]","[2, 195]","[4, 121]","[4, 196]","[2, 45]","[2, 33]","[1, 117]","[0, 18]","[1, 248]","[4, 243]","[0, 114]",1.2015,2.4,3.77,0.11,0.53
"[3, 90]","[2, 178]","[4, 197]","[4, 204]","[2, 55]","[2, 33]","[1, 209]","[0, 20]","[1, 34]","[4, 93]","[0, 170]",0.448,1.22,0.08,0.11,0.54
"[3, 65]","[2, 42]","[4, 196]","[4, 205]","[2, 116]","[2, 116]","[1, 127]","[0, 56]","[1, 188]","[4, 93]","[0, 29]",0.567,0.36,0.01,0.09,0.54
"[3, 95]","[2, 103]","[4, 141]","[4, 197]","[2, 18]","[2, 238]","[1, 88]","[0, 78]","[1, 204]","[4, 150]","[0, 160]",0.6165,0.13,0,0.06,0.54
"[3, 104]","[2, 213]","[4, 200]","[4, 137]","[2, 236]","[2, 49]","[1, 92]","[0, 140]","[1, 243]","[4, 198]","[0, 167]",0.6645,0,0,0.12,0.54
"[3, 101]","[2, 59]","[4, 53]","[4, 62]","[2, 158]","[2, 182]","[1, 92]","[0, 68]","[1, 146]","[4, 28]","[0, 184]",27.938,31.15,81.87,0.2,0.54
"[3, 101]","[2, 155]","[4, 12]","[4, 70]","[2, 18]","[2, 211]","[1, 97]","[0, 60]","[1, 212]","[4, 151]","[0, 159]",0.4295,0.91,0,0.08,0.55
"[3, 102]","[2, 73]","[4, 220]","[4, 244]","[2, 82]","[2, 97]","[1, 28]","[0, 177]","[1, 73]","[4, 214]","[0, 83]",0.4555,0.82,0,0.09,0.55
"[3, 98]","[2, 170]","[4, 146]","[4, 190]","[2, 168]","[2, 204]","[1, 121]","[0, 159]","[1, 161]","[4, 197]","[0, 199]",0.5115,0.58,0,0.08,0.55
"[3, 69]","[2, 75]","[4, 81]","[4, 135]","[2, 178]","[2, 217]","[1, 158]","[0, 163]","[1, 167]","[4, 112]","[0, 249]",0.5965,0.22,0.01,0.07,0.55
"[3, 90]","[2, 201]","[4, 250]","[4, 80]","[2, 213]","[2, 132]","[1, 34]","[0, 143]","[1, 172]","[4, 201]","[0, 119]",0.6565,0.11,0,0.19,0.55
"[3, 107]","[2, 207]","[4, 76]","[4, 31]","[2, 190]","[2, 208]","[1, 194]","[0, 187]","[1, 130]","[4, 248]","[0, 98]",0.658,0.02,0,0.1,0.55
"[3, 85]","[2, 39]","[4, 207]","[4, 233]","[2, 242]","[2, 183]","[1, 128]","[0, 44]","[1, 251]","[4, 169]","[0, 237]",0.41,0.47,0.54,0.09,0.56
"[3, 96]","[2, 239]","[4, 194]","[4, 229]","[2, 135]","[2, 118]","[1, 20]","[0, 218]","[1, 146]","[4, 78]","[0, 120]",0.44,1.11,0,0.09,0.56
"[3, 97]","[2, 207]","[4, 135]","[4, 206]","[2, 88]","[2, 187]","[1, 154]","[0, 145]","[1, 77]","[4, 216]","[0, 185]",0.498,0.64,0.02,0.09,0.56
"[3, 104]","[2, 10]","[4, 21]","[4, 226]","[2, 130]","[2, 113]","[1, 185]","[0, 38]","[1, 98]","[4, 205]","[0, 110]",0.673,0,0,0.12,0.57
"[3, 92]","[2, 137]","[4, 141]","[4, 195]","[2, 40]","[2, 14]","[1, 136]","[0, 225]","[1, 49]","[4, 25]","[0, 242]",0.675,0,0,0.13,0.57
"[3, 64]","[2, 159]","[4, 112]","[4, 241]","[2, 91]","[2, 88]","[1, 158]","[0, 88]","[1, 92]","[4, 28]","[0, 39]",0.5145,0.66,0,0.13,0.59
"[3, 60]","[2, 79]","[4, 226]","[4, 123]","[2, 30]","[2, 92]","[1, 181]","[0, 107]","[1, 14]","[4, 80]","[0, 218]",0.603,0.23,0.03,0.08,0.59
"[3, 94]","[2, 203]","[4, 136]","[4, 235]","[2, 150]","[2, 94]","[1, 135]","[0, 99]","[1, 101]","[4, 249]","[0, 36]",0.654,0.1,0.02,0.15,0.59
"[3, 64]","[2, 58]","[4, 186]","[4, 114]","[2, 139]","[2, 109]","[1, 234]","[0, 201]","[1, 100]","[4, 240]","[0, 144]",0.653,0.05,0.01,0.07,0.6
"[3, 86]","[2, 122]","[4, 153]","[4, 19]","[2, 136]","[2, 45]","[1, 208]","[0, 103]","[1, 102]","[4, 84]","[0, 150]",0.6885,0.01,0,0.15,0.61
"[3, 53]","[2, 58]","[4, 180]","[4, 156]","[2, 75]","[2, 76]","[1, 157]","[0, 88]","[1, 87]","[4, 239]","[0, 25]",0.6475,0.17,0.03,0.15,0.64
"[3, 66]","[2, 219]","[4, 178]","[4, 181]","[2, 189]","[2, 224]","[1, 191]","[0, 53]","[1, 105]","[4, 251]","[0, 141]",0.6405,0.31,0.01,0.23,0.66
"[3, 77]","[2, 16]","[4, 26]","[4, 17]","[2, 214]","[2, 10]","[1, 65]","[0, 169]","[1, 33]","[4, 117]","[0, 161]",0.7115,0,0,0.19,0.66
"[3, 70]","[2, 89]","[4, 96]","[4, 123]","[2, 247]","[2, 53]","[1, 100]","[0, 134]","[1, 116]","[4, 169]","[0, 94]",0.7235,0,0,0.21,0.69
"[3, 67]","[2, 140]","[4, 22]","[4, 32]","[2, 106]","[2, 226]","[1, 233]","[0, 73]","[1, 224]","[4, 234]","[0, 158]",0.734,0,0,0.22,0.72
"[3, 59]","[2, 33]","[4, 179]","[4, 213]","[2, 254]","[2, 55]","[1, 96]","[0, 123]","[1, 198]","[4, 34]","[0, 141]",0.7655,0,0,0.3,0.76
"[3, 57]","[2, 196]","[4, 159]","[4, 216]","[2, 199]","[2, 44]","[1, 12]","[0, 98]","[1, 246]","[4, 15]","[0, 168]",0.767,0,0,0.3,0.76
"[3, 52]","[2, 76]","[4, 82]","[4, 81]","[2, 216]","[2, 110]","[1, 119]","[0, 207]","[1, 122]","[4, 127]","[0, 107]",0.806,0,0,0.39,0.83
"[3, 51]","[2, 84]","[4, 241]","[4, 124]","[2, 191]","[2, 11]","[1, 246]","[0, 118]","[1, 232]","[4, 189]","[0, 233]",0.8005,0.01,0.04,0.41,0.84
"[3, 45]","[2, 198]","[4, 28]","[4, 254]","[2, 35]","[2, 42]","[1, 158]","[0, 120]","[1, 164]","[4, 182]","[0, 225]",0.8305,0,0,0.44,0.88
"[3, 176]","[2, 179]","[4, 159]","[4, 55]","[2, 157]","[2, 187]","[1, 119]","[0, 43]","[1, 102]","[4, 88]","[0, 76]",7.558,29.17,0.04,0.1,1
"[3, 11]","[2, 122]","[4, 132]","[4, 73]","[2, 107]","[2, 62]","[1, 64]","[0, 32]","[1, 211]","[4, 89]","[0, 56]",,0,0,,
"[3, 27]","[2, 88]","[4, 190]","[4, 109]","[2, 104]","[2, 147]","[1, 76]","[0, 245]","[1, 139]","[4, 188]","[0, 24]",,0,0,,
"[3, 21]","[2, 236]","[4, 164]","[4, 143]","[2, 141]","[2, 159]","[1, 102]","[0, 52]","[1, 248]","[4, 46]","[0, 140]",,0,0,,
"[3, 26]","[2, 171]","[4, 136]","[4, 65]","[2, 176]","[2, 225]","[1, 151]","[0, 253]","[1, 167]","[4, 240]","[0, 68]",,0,0,,
"[3, 21]","[2, 74]","[4, 84]","[4, 133]","[2, 72]","[2, 93]","[1, 205]","[0, 123]","[1, 185]","[4, 179]","[0, 12]",,0,0,,
"[3, 28]","[2, 117]","[4, 97]","[4, 241]","[2, 12]","[2, 174]","[1, 147]","[0, 27]","[1, 145]","[4, 45]","[0, 186]",,0,0,,
"[3, 22]","[2, 54]","[4, 245]","[4, 137]","[2, 237]","[2, 40]","[1, 29]","[0, 22]","[1, 51]","[4, 184]","[0, 175]",,0,0,,
"[3, 30]","[2, 134]","[4, 253]","[4, 122]","[2, 17]","[2, 16]","[1, 139]","[0, 163]","[1, 92]","[4, 188]","[0, 165]",,0,0,,
"[3, 37]","[2, 32]","[4, 56]","[4, 243]","[2, 17]","[2, 130]","[1, 164]","[0, 29]","[1, 153]","[4, 41]","[0, 123]",,0,0,,
"[3, 11]","[2, 22]","[4, 130]","[4, 243]","[2, 220]","[2, 215]","[1, 180]","[0, 51]","[1, 29]","[4, 137]","[0, 144]",,0,0,,
"[3, 30]","[2, 159]","[4, 132]","[4, 21]","[2, 208]","[2, 72]","[1, 54]","[0, 237]","[1, 191]","[4, 136]","[0, 134]",,0,0,,
"[3, 44]","[2, 24]","[4, 189]","[4, 10]","[2, 119]","[2, 216]","[1, 207]","[0, 122]","[1, 239]","[4, 254]","[0, 246]",,0,0,0,
"[3, 30]","[2, 158]","[4, 92]","[4, 214]","[2, 207]","[2, 245]","[1, 109]","[0, 109]","[1, 160]","[4, 205]","[0, 26]",,0,0,,
"[3, 19]","[2, 227]","[4, 73]","[4, 96]","[2, 144]","[2, 33]","[1, 30]","[0, 100]","[1, 164]","[4, 160]","[0, 50]",,0,0,,
