PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[3, 237]","[2, 26]","[4, 204]","[4, 225]","[2, 114]","[2, 161]","[1, 157]","[0, 48]","[1, 223]","[4, 140]","[0, 191]",0.603,0,0,0.03,0.39
"[3, 163]","[2, 228]","[4, 34]","[4, 203]","[2, 195]","[2, 57]","[1, 199]","[0, 80]","[1, 61]","[4, 14]","[0, 236]",0.6165,0,0,0.08,0.39
"[3, 226]","[2, 141]","[4, 197]","[4, 137]","[2, 234]","[2, 223]","[1, 15]","[0, 149]","[1, 147]","[4, 248]","[0, 238]",0.601,0.03,0,0.03,0.4
"[3, 211]","[2, 22]","[4, 152]","[4, 121]","[2, 158]","[2, 194]","[1, 173]","[0, 213]","[1, 172]","[4, 155]","[0, 224]",0.6055,0.01,0,0.03,0.4
"[3, 225]","[2, 128]","[4, 254]","[4, 62]","[2, 236]","[2, 96]","[1, 137]","[0, 69]","[1, 50]","[4, 138]","[0, 141]",0.607,0,0,0.03,0.4
"[3, 231]","[2, 177]","[4, 77]","[4, 175]","[2, 146]","[2, 103]","[1, 136]","[0, 114]","[1, 113]","[4, 50]","[0, 136]",0.614,0,0,0.06,0.4
"[3, 244]","[2, 175]","[4, 64]","[4, 235]","[2, 223]","[2, 47]","[1, 35]","[0, 199]","[1, 82]","[4, 41]","[0, 44]",0.614,0.01,0.01,0.07,0.4
"[3, 189]","[2, 65]","[4, 11]","[4, 147]","[2, 239]","[2, 195]","[1, 46]","[0, 41]","[1, 111]","[4, 90]","[0, 62]",0.618,0,0,0.08,0.4
"[3, 102]","[2, 103]","[4, 167]","[4, 43]","[2, 94]","[2, 121]","[1, 61]","[0, 61]","[1, 33]","[4, 38]","[0, 50]",0.525,0.12,0.3,0.12,0.41
"[3, 174]","[2, 247]","[4, 78]","[4, 148]","[2, 52]","[2, 178]","[1, 21]","[0, 132]","[1, 204]","[4, 57]","[0, 114]",0.589,0.1,0,0.04,0.41
"[3, 53]","[2, 46]","[4, 76]","[4, 23]","[2, 181]","[2, 211]","[1, 243]","[0, 63]","[1, 20]","[4, 181]","[0, 236]",0.593,0.66,2.44,0.19,0.41
"[3, 183]","[2, 253]","[4, 94]","[4, 221]","[2, 145]","[2, 247]","[1, 113]","[0, 36]","[1, 156]","[4, 129]","[0, 163]",0.594,0.08,0,0.05,0.41
"[3, 232]","[2, 234]","[4, 171]","[4, 139]","[2, 67]","[2, 166]","[1, 28]","[0, 77]","[1, 207]","[4, 88]","[0, 95]",0.6,0.02,0.02,0.04,0.41
"[3, 219]","[2, 64]","[4, 252]","[4, 136]","[2, 179]","[2, 80]","[1, 147]","[0, 104]","[1, 33]","[4, 83]","[0, 27]",0.606,0.01,0.02,0.05,0.41
"[3, 171]","[2, 91]","[4, 213]","[4, 139]","[2, 15]","[2, 171]","[1, 104]","[0, 164]","[1, 158]","[4, 115]","[0, 97]",0.608,0.02,0,0.03,0.41
"[3, 192]","[2, 231]","[4, 74]","[4, 170]","[2, 226]","[2, 158]","[1, 73]","[0, 212]","[1, 122]","[4, 150]","[0, 194]",0.621,0,0,0.07,0.41
"[3, 153]","[2, 205]","[4, 250]","[4, 85]","[2, 143]","[2, 174]","[1, 43]","[0, 114]","[1, 28]","[4, 131]","[0, 123]",0.592,0.1,0,0.05,0.42
"[3, 182]","[2, 187]","[4, 245]","[4, 186]","[2, 91]","[2, 253]","[1, 85]","[0, 253]","[1, 45]","[4, 166]","[0, 127]",0.6065,0.02,0,0.03,0.42
"[3, 249]","[2, 191]","[4, 223]","[4, 175]","[2, 148]","[2, 61]","[1, 192]","[0, 140]","[1, 246]","[4, 159]","[0, 125]",0.612,0.01,0.02,0.06,0.42
"[3, 179]","[2, 252]","[4, 208]","[4, 219]","[2, 37]","[2, 91]","[1, 230]","[0, 206]","[1, 184]","[4, 121]","[0, 52]",0.6145,0,0,0.04,0.42
"[3, 214]","[2, 224]","[4, 200]","[4, 135]","[2, 226]","[2, 26]","[1, 197]","[0, 241]","[1, 83]","[4, 175]","[0, 81]",0.621,0,0,0.07,0.42
"[3, 160]","[2, 17]","[4, 67]","[4, 47]","[2, 225]","[2, 49]","[1, 176]","[0, 122]","[1, 183]","[4, 35]","[0, 164]",0.624,0,0,0.08,0.42
"[3, 191]","[2, 187]","[4, 90]","[4, 237]","[2, 175]","[2, 57]","[1, 148]","[0, 165]","[1, 112]","[4, 56]","[0, 154]",0.6245,0,0,0.07,0.42
"[3, 46]","[2, 254]","[4, 133]","[4, 40]","[2, 32]","[2, 120]","[1, 87]","[0, 77]","[1, 113]","[4, 61]","[0, 249]",0.728,1.47,2.85,0.17,0.42
"[3, 156]","[2, 61]","[4, 250]","[4, 120]","[2, 38]","[2, 240]","[1, 41]","[0, 217]","[1, 157]","[4, 205]","[0, 136]",0.5885,0.12,0,0.04,0.43
"[3, 138]","[2, 166]","[4, 252]","[4, 226]","[2, 172]","[2, 170]","[1, 221]","[0, 13]","[1, 212]","[4, 173]","[0, 185]",0.5895,0.12,0,0.05,0.43
"[3, 96]","[2, 172]","[4, 241]","[4, 99]","[2, 231]","[2, 251]","[1, 232]","[0, 157]","[1, 65]","[4, 87]","[0, 192]",0.5985,0.15,0.01,0.12,0.43
"[3, 247]","[2, 53]","[4, 123]","[4, 73]","[2, 163]","[2, 170]","[1, 237]","[0, 66]","[1, 162]","[4, 243]","[0, 59]",0.6085,0.01,0.02,0.04,0.43
"[3, 221]","[2, 64]","[4, 153]","[4, 202]","[2, 128]","[2, 132]","[1, 36]","[0, 149]","[1, 213]","[4, 80]","[0, 64]",0.609,0.03,0.02,0.05,0.43
"[3, 98]","[2, 229]","[4, 167]","[4, 101]","[2, 35]","[2, 247]","[1, 106]","[0, 97]","[1, 18]","[4, 67]","[0, 134]",0.611,0.08,0,0.1,0.43
"[3, 188]","[2, 224]","[4, 64]","[4, 33]","[2, 142]","[2, 181]","[1, 24]","[0, 169]","[1, 212]","[4, 76]","[0, 163]",0.618,0.01,0.02,0.07,0.43
"[3, 162]","[2, 213]","[4, 45]","[4, 108]","[2, 212]","[2, 76]","[1, 223]","[0, 151]","[1, 206]","[4, 240]","[0, 77]",0.6185,0.01,0.02,0.07,0.43
"[3, 197]","[2, 141]","[4, 146]","[4, 79]","[2, 164]","[2, 70]","[1, 175]","[0, 163]","[1, 154]","[4, 88]","[0, 152]",0.624,0,0,0.07,0.43
"[3, 186]","[2, 179]","[4, 187]","[4, 138]","[2, 161]","[2, 50]","[1, 36]","[0, 208]","[1, 77]","[4, 171]","[0, 47]",0.624,0,0,0.07,0.43
"[3, 188]","[2, 11]","[4, 100]","[4, 35]","[2, 254]","[2, 165]","[1, 120]","[0, 239]","[1, 31]","[4, 41]","[0, 231]",0.6245,0,0,0.07,0.43
"[3, 174]","[2, 139]","[4, 24]","[4, 146]","[2, 56]","[2, 214]","[1, 141]","[0, 221]","[1, 45]","[4, 93]","[0, 85]",0.625,0,0,0.07,0.43
"[3, 198]","[2, 128]","[4, 195]","[4, 111]","[2, 182]","[2, 13]","[1, 204]","[0, 123]","[1, 148]","[4, 207]","[0, 123]",0.6255,0,0,0.07,0.43
"[3, 181]","[2, 180]","[4, 56]","[4, 168]","[2, 240]","[2, 21]","[1, 170]","[0, 222]","[1, 173]","[4, 30]","[0, 221]",0.6265,0,0,0.08,0.43
"[3, 140]","[2, 89]","[4, 47]","[4, 80]","[2, 72]","[2, 18]","[1, 84]","[0, 215]","[1, 84]","[4, 22]","[0, 226]",0.6275,0,0,0.08,0.43
"[3, 247]","[2, 109]","[4, 171]","[4, 37]","[2, 174]","[2, 109]","[1, 48]","[0, 238]","[1, 104]","[4, 192]","[0, 82]",0.615,0.01,0.02,0.05,0.44
"[3, 147]","[2, 234]","[4, 202]","[4, 187]","[2, 219]","[2, 52]","[1, 67]","[0, 19]","[1, 33]","[4, 229]","[0, 150]",0.6305,0,0,0.08,0.44
"[3, 106]","[2, 215]","[4, 214]","[4, 182]","[2, 31]","[2, 171]","[1, 50]","[0, 247]","[1, 27]","[4, 28]","[0, 50]",0.602,0.1,0,0.06,0.45
"[3, 210]","[2, 25]","[4, 17]","[4, 28]","[2, 182]","[2, 66]","[1, 153]","[0, 234]","[1, 130]","[4, 68]","[0, 114]",0.6255,0.01,0.01,0.08,0.45
"[3, 148]","[2, 141]","[4, 46]","[4, 26]","[2, 93]","[2, 206]","[1, 125]","[0, 72]","[1, 45]","[4, 44]","[0, 176]",0.6265,0.01,0,0.07,0.45
"[3, 165]","[2, 189]","[4, 216]","[4, 165]","[2, 227]","[2, 86]","[1, 34]","[0, 151]","[1, 69]","[4, 137]","[0, 25]",0.6295,0.01,0.01,0.08,0.45
"[3, 160]","[2, 116]","[4, 154]","[4, 33]","[2, 244]","[2, 53]","[1, 87]","[0, 245]","[1, 173]","[4, 184]","[0, 233]",0.631,0,0,0.08,0.45
"[3, 148]","[2, 85]","[4, 25]","[4, 38]","[2, 128]","[2, 120]","[1, 186]","[0, 157]","[1, 243]","[4, 64]","[0, 102]",0.6355,0,0,0.09,0.45
"[3, 140]","[2, 166]","[4, 77]","[4, 60]","[2, 57]","[2, 118]","[1, 11]","[0, 59]","[1, 31]","[4, 115]","[0, 186]",0.6195,0.03,0,0.05,0.46
"[3, 228]","[2, 169]","[4, 115]","[4, 243]","[2, 97]","[2, 109]","[1, 198]","[0, 48]","[1, 29]","[4, 163]","[0, 104]",0.6205,0.01,0.03,0.05,0.46
"[3, 214]","[2, 77]","[4, 30]","[4, 34]","[2, 106]","[2, 209]","[1, 227]","[0, 245]","[1, 175]","[4, 67]","[0, 182]",0.627,0.01,0.02,0.08,0.46
"[3, 230]","[2, 116]","[4, 41]","[4, 124]","[2, 236]","[2, 117]","[1, 199]","[0, 200]","[1, 147]","[4, 239]","[0, 48]",0.628,0.01,0.02,0.08,0.46
"[3, 153]","[2, 75]","[4, 84]","[4, 254]","[2, 139]","[2, 20]","[1, 234]","[0, 230]","[1, 153]","[4, 61]","[0, 58]",0.6375,0,0,0.09,0.46
"[3, 94]","[2, 203]","[4, 151]","[4, 126]","[2, 108]","[2, 225]","[1, 225]","[0, 23]","[1, 189]","[4, 131]","[0, 233]",0.4675,0.15,0.56,0.11,0.47
"[3, 45]","[2, 40]","[4, 96]","[4, 86]","[2, 54]","[2, 233]","[1, 239]","[0, 211]","[1, 193]","[4, 191]","[0, 218]",0.5675,0.29,0.04,0.14,0.47
"[3, 135]","[2, 240]","[4, 58]","[4, 69]","[2, 155]","[2, 43]","[1, 103]","[0, 228]","[1, 232]","[4, 125]","[0, 134]",0.638,0,0,0.09,0.47
"[3, 141]","[2, 213]","[4, 88]","[4, 228]","[2, 116]","[2, 106]","[1, 166]","[0, 240]","[1, 92]","[4, 245]","[0, 248]",0.638,0,0,0.08,0.47
"[3, 132]","[2, 85]","[4, 95]","[4, 66]","[2, 175]","[2, 44]","[1, 53]","[0, 226]","[1, 123]","[4, 32]","[0, 13]",0.6405,0,0,0.09,0.47
"[3, 131]","[2, 194]","[4, 79]","[4, 184]","[2, 201]","[2, 159]","[1, 77]","[0, 146]","[1, 143]","[4, 165]","[0, 170]",0.6405,0,0,0.09,0.47
"[3, 155]","[2, 152]","[4, 155]","[4, 245]","[2, 219]","[2, 172]","[1, 70]","[0, 200]","[1, 44]","[4, 200]","[0, 114]",0.629,0.02,0.01,0.07,0.48
"[3, 150]","[2, 28]","[4, 198]","[4, 205]","[2, 114]","[2, 52]","[1, 201]","[0, 77]","[1, 170]","[4, 181]","[0, 155]",0.6305,0.01,0.02,0.08,0.48
