"PC_w0","PC_w1","PC_w2","PC_AG","PC_NG","PC_SG","PV_w0","PV_w1","PV_w2","PV_AG","PV_GG","error","cv_PC","cv_PV","syn_PC","syn_PV"
"[3, 77]","[3, 47]","[3, 214]","[3, 129]","[3, 25]","[3, 222]","[3, 115]","[3, 177]","[3, 233]","[3, 223]","[3, 29]",0.135,1.04,1.2,0.05,0.25
"[3, 211]","[3, 120]","[3, 238]","[3, 66]","[3, 15]","[3, 248]","[3, 116]","[3, 106]","[3, 108]","[3, 140]","[3, 52]",0.1845,1.04,1.27,0.14,0.29
"[3, 212]","[3, 64]","[3, 228]","[3, 106]","[3, 30]","[3, 217]","[3, 127]","[3, 214]","[3, 26]","[3, 151]","[3, 163]",0.2435,0.83,0.9,0.3,0.41
"[3, 169]","[3, 52]","[3, 242]","[3, 230]","[3, 21]","[3, 215]","[3, 152]","[3, 251]","[3, 140]","[3, 220]","[3, 78]",0.26,1.36,1.12,0.22,0.34
"[3, 245]","[3, 232]","[3, 85]","[3, 179]","[3, 164]","[3, 58]","[3, 137]","[3, 112]","[3, 235]","[3, 40]","[3, 192]",0.293,0.01,0.99,0.06,0.11
"[3, 244]","[3, 237]","[3, 43]","[3, 85]","[3, 227]","[3, 65]","[3, 185]","[3, 191]","[3, 242]","[3, 42]","[3, 174]",0.2955,0.07,1.02,0.09,0.15
"[3, 210]","[3, 230]","[3, 99]","[3, 72]","[3, 125]","[3, 147]","[3, 105]","[3, 47]","[3, 195]","[3, 63]","[3, 241]",0.296,0,0.94,0.05,0.08
"[3, 75]","[3, 86]","[3, 242]","[3, 82]","[3, 25]","[3, 172]","[3, 173]","[3, 111]","[3, 32]","[3, 251]","[3, 128]",0.2975,1.18,1.39,0.25,0.37
"[3, 251]","[3, 25]","[3, 53]","[3, 57]","[3, 78]","[3, 120]","[3, 41]","[3, 235]","[3, 225]","[3, 162]","[3, 250]",0.3105,0.09,0.99,0.12,0.21
"[3, 226]","[3, 177]","[3, 153]","[3, 26]","[3, 157]","[3, 78]","[3, 44]","[3, 20]","[3, 198]","[3, 82]","[3, 183]",0.3105,0,1.05,0.06,0.14
"[3, 251]","[3, 99]","[3, 50]","[3, 136]","[3, 244]","[3, 236]","[3, 79]","[3, 129]","[3, 108]","[3, 55]","[3, 174]",0.313,0.04,1.02,0.08,0.19
"[3, 205]","[3, 180]","[3, 209]","[3, 127]","[3, 79]","[3, 65]","[3, 99]","[3, 218]","[3, 120]","[3, 74]","[3, 239]",0.3195,0,1.09,0.05,0.14
"[3, 242]","[3, 113]","[3, 133]","[3, 37]","[3, 140]","[3, 97]","[3, 229]","[3, 121]","[3, 219]","[3, 37]","[3, 70]",0.32,0,0.87,0.06,0.09
"[3, 239]","[3, 54]","[3, 175]","[3, 121]","[3, 125]","[3, 153]","[3, 60]","[3, 193]","[3, 176]","[3, 85]","[3, 170]",0.321,0.01,1.12,0.05,0.13
"[3, 240]","[3, 45]","[3, 143]","[3, 30]","[3, 32]","[3, 137]","[3, 23]","[3, 66]","[3, 181]","[3, 128]","[3, 242]",0.3215,0.02,0.92,0.08,0.15
"[3, 250]","[3, 22]","[3, 36]","[3, 51]","[3, 202]","[3, 217]","[3, 140]","[3, 41]","[3, 208]","[3, 145]","[3, 166]",0.3285,0.25,1.08,0.16,0.32
"[3, 214]","[3, 94]","[3, 201]","[3, 82]","[3, 226]","[3, 67]","[3, 124]","[3, 173]","[3, 81]","[3, 24]","[3, 214]",0.336,0.13,1.06,0.17,0.25
"[3, 246]","[3, 29]","[3, 221]","[3, 184]","[3, 47]","[3, 165]","[3, 228]","[3, 28]","[3, 198]","[3, 23]","[3, 93]",0.339,0.07,1.19,0.11,0.13
"[3, 232]","[3, 181]","[3, 122]","[3, 192]","[3, 163]","[3, 45]","[3, 205]","[3, 47]","[3, 198]","[3, 55]","[3, 182]",0.3395,0.11,0.85,0.12,0.19
"[3, 201]","[3, 236]","[3, 53]","[3, 43]","[3, 166]","[3, 102]","[3, 122]","[3, 20]","[3, 134]","[3, 30]","[3, 197]",0.341,0,0.83,0.06,0.14
"[3, 201]","[3, 139]","[3, 84]","[3, 57]","[3, 162]","[3, 44]","[3, 161]","[3, 187]","[3, 180]","[3, 23]","[3, 160]",0.345,0.07,1.06,0.17,0.23
"[3, 217]","[3, 215]","[3, 103]","[3, 63]","[3, 143]","[3, 28]","[3, 173]","[3, 180]","[3, 189]","[3, 53]","[3, 77]",0.3485,0,0.74,0.05,0.09
"[3, 220]","[3, 88]","[3, 71]","[3, 28]","[3, 237]","[3, 58]","[3, 154]","[3, 170]","[3, 149]","[3, 80]","[3, 200]",0.35,0.11,1.03,0.17,0.31
"[3, 253]","[3, 19]","[3, 36]","[3, 56]","[3, 32]","[3, 91]","[3, 168]","[3, 254]","[3, 37]","[3, 194]","[3, 181]",0.3535,0.28,0.95,0.15,0.49
"[3, 238]","[3, 184]","[3, 86]","[3, 245]","[3, 44]","[3, 125]","[3, 159]","[3, 210]","[3, 217]","[3, 31]","[3, 44]",0.359,0,0.74,0.05,0.13
"[3, 199]","[3, 86]","[3, 196]","[3, 44]","[3, 172]","[3, 79]","[3, 193]","[3, 108]","[3, 249]","[3, 31]","[3, 188]",0.3595,0.09,1.14,0.18,0.21
"[3, 239]","[3, 49]","[3, 236]","[3, 168]","[3, 139]","[3, 51]","[3, 30]","[3, 29]","[3, 219]","[3, 84]","[3, 142]",0.363,0,0.71,0.05,0.12
"[3, 252]","[3, 126]","[3, 61]","[3, 236]","[3, 229]","[3, 103]","[3, 67]","[3, 153]","[3, 31]","[3, 16]","[3, 167]",0.3635,0,1.24,0.05,0.16
"[3, 185]","[3, 91]","[3, 26]","[3, 149]","[3, 151]","[3, 34]","[3, 59]","[3, 47]","[3, 181]","[3, 85]","[3, 197]",0.3645,0.05,0.98,0.17,0.31
"[3, 94]","[3, 117]","[3, 68]","[3, 239]","[3, 96]","[3, 170]","[3, 234]","[3, 207]","[3, 227]","[3, 28]","[3, 242]",0.3645,0,0.93,0.18,0.21
"[3, 218]","[3, 166]","[3, 18]","[3, 89]","[3, 56]","[3, 246]","[3, 113]","[3, 109]","[3, 204]","[3, 31]","[3, 185]",0.366,0,0.67,0.04,0.09
"[3, 176]","[3, 120]","[3, 197]","[3, 164]","[3, 16]","[3, 52]","[3, 214]","[3, 181]","[3, 160]","[3, 17]","[3, 154]",0.3665,0.02,0.97,0.17,0.29
"[3, 231]","[3, 21]","[3, 173]","[3, 130]","[3, 149]","[3, 41]","[3, 186]","[3, 53]","[3, 209]","[3, 30]","[3, 198]",0.3675,0.2,1.32,0.16,0.18
"[3, 223]","[3, 136]","[3, 45]","[3, 195]","[3, 116]","[3, 161]","[3, 42]","[3, 37]","[3, 131]","[3, 44]","[3, 222]",0.368,0,0.68,0.05,0.1
"[3, 230]","[3, 88]","[3, 122]","[3, 141]","[3, 69]","[3, 68]","[3, 87]","[3, 56]","[3, 159]","[3, 62]","[3, 219]",0.371,0.01,0.68,0.06,0.12
"[3, 247]","[3, 120]","[3, 142]","[3, 175]","[3, 185]","[3, 17]","[3, 81]","[3, 132]","[3, 153]","[3, 106]","[3, 230]",0.3715,0,0.67,0.04,0.11
"[3, 216]","[3, 109]","[3, 155]","[3, 162]","[3, 206]","[3, 167]","[3, 210]","[3, 56]","[3, 230]","[3, 83]","[3, 251]",0.372,0.08,0.67,0.09,0.14
"[3, 171]","[3, 222]","[3, 226]","[3, 23]","[3, 162]","[3, 169]","[3, 119]","[3, 210]","[3, 175]","[3, 54]","[3, 214]",0.3725,0.03,0.96,0.19,0.29
"[3, 197]","[3, 73]","[3, 112]","[3, 218]","[3, 19]","[3, 231]","[3, 155]","[3, 22]","[3, 183]","[3, 91]","[3, 163]",0.3725,0.11,1.11,0.17,0.32
"[3, 205]","[3, 218]","[3, 249]","[3, 218]","[3, 205]","[3, 225]","[3, 117]","[3, 49]","[3, 29]","[3, 50]","[3, 238]",0.3745,0,0.68,0.05,0.13
"[3, 218]","[3, 17]","[3, 247]","[3, 129]","[3, 200]","[3, 22]","[3, 153]","[3, 189]","[3, 172]","[3, 150]","[3, 162]",0.375,0.14,1.07,0.17,0.4
"[3, 187]","[3, 207]","[3, 58]","[3, 91]","[3, 217]","[3, 126]","[3, 86]","[3, 67]","[3, 230]","[3, 59]","[3, 184]",0.376,0.04,0.87,0.18,0.23
"[3, 87]","[3, 164]","[3, 129]","[3, 214]","[3, 57]","[3, 97]","[3, 198]","[3, 180]","[3, 247]","[3, 51]","[3, 157]",0.3765,0,0.91,0.18,0.23
"[3, 211]","[3, 81]","[3, 166]","[3, 236]","[3, 127]","[3, 205]","[3, 152]","[3, 19]","[3, 173]","[3, 22]","[3, 138]",0.3775,0.13,0.74,0.16,0.21
"[3, 217]","[3, 53]","[3, 101]","[3, 191]","[3, 39]","[3, 20]","[3, 172]","[3, 214]","[3, 133]","[3, 83]","[3, 140]",0.3775,0.15,1.15,0.17,0.34
"[3, 231]","[3, 220]","[3, 198]","[3, 225]","[3, 212]","[3, 233]","[3, 206]","[3, 128]","[3, 164]","[3, 100]","[3, 198]",0.3775,0,0.63,0.04,0.1
"[3, 92]","[3, 201]","[3, 184]","[3, 192]","[3, 169]","[3, 133]","[3, 95]","[3, 39]","[3, 227]","[3, 30]","[3, 150]",0.3775,0,0.89,0.18,0.22
"[3, 205]","[3, 83]","[3, 100]","[3, 140]","[3, 22]","[3, 248]","[3, 108]","[3, 21]","[3, 34]","[3, 52]","[3, 198]",0.378,0.12,0.9,0.14,0.39
"[3, 194]","[3, 120]","[3, 145]","[3, 94]","[3, 178]","[3, 203]","[3, 181]","[3, 241]","[3, 229]","[3, 79]","[3, 131]",0.3795,0.06,0.89,0.17,0.29
"[3, 203]","[3, 33]","[3, 243]","[3, 128]","[3, 161]","[3, 198]","[3, 61]","[3, 157]","[3, 220]","[3, 145]","[3, 191]",0.38,0.1,0.87,0.17,0.32
"[3, 104]","[3, 229]","[3, 249]","[3, 45]","[3, 234]","[3, 209]","[3, 131]","[3, 244]","[3, 186]","[3, 61]","[3, 129]",0.381,0,1,0.18,0.34
"[3, 213]","[3, 59]","[3, 58]","[3, 116]","[3, 144]","[3, 82]","[3, 196]","[3, 139]","[3, 194]","[3, 94]","[3, 111]",0.381,0.13,0.84,0.16,0.34
"[3, 135]","[3, 81]","[3, 212]","[3, 129]","[3, 28]","[3, 147]","[3, 97]","[3, 149]","[3, 128]","[3, 71]","[3, 176]",0.381,0.01,0.99,0.17,0.35
"[3, 217]","[3, 152]","[3, 235]","[3, 98]","[3, 44]","[3, 124]","[3, 81]","[3, 21]","[3, 222]","[3, 27]","[3, 193]",0.3825,0,0.61,0.06,0.08
"[3, 238]","[3, 23]","[3, 128]","[3, 18]","[3, 140]","[3, 125]","[3, 233]","[3, 89]","[3, 91]","[3, 117]","[3, 120]",0.383,0.15,1.05,0.16,0.48
"[3, 178]","[3, 122]","[3, 198]","[3, 195]","[3, 253]","[3, 104]","[3, 89]","[3, 244]","[3, 181]","[3, 50]","[3, 120]",0.3835,0.03,0.93,0.17,0.33
"[3, 211]","[3, 55]","[3, 58]","[3, 132]","[3, 117]","[3, 25]","[3, 218]","[3, 56]","[3, 142]","[3, 22]","[3, 124]",0.3845,0.12,0.73,0.17,0.22
"[3, 106]","[3, 214]","[3, 74]","[3, 96]","[3, 133]","[3, 77]","[3, 30]","[3, 220]","[3, 178]","[3, 72]","[3, 162]",0.385,0,1.05,0.18,0.31
"[3, 181]","[3, 131]","[3, 226]","[3, 103]","[3, 198]","[3, 230]","[3, 101]","[3, 130]","[3, 148]","[3, 30]","[3, 127]",0.3865,0.03,0.86,0.17,0.26
"[3, 177]","[3, 119]","[3, 38]","[3, 76]","[3, 47]","[3, 38]","[3, 32]","[3, 107]","[3, 124]","[3, 35]","[3, 175]",0.3865,0.03,0.91,0.18,0.3
"[3, 113]","[3, 108]","[3, 21]","[3, 172]","[3, 246]","[3, 20]","[3, 31]","[3, 190]","[3, 147]","[3, 41]","[3, 128]",0.3875,0.01,1.04,0.18,0.33
"[3, 223]","[3, 36]","[3, 37]","[3, 77]","[3, 20]","[3, 17]","[3, 57]","[3, 133]","[3, 192]","[3, 47]","[3, 205]",0.388,0.16,1.34,0.16,0.21
"[3, 149]","[3, 31]","[3, 243]","[3, 217]","[3, 195]","[3, 135]","[3, 130]","[3, 212]","[3, 104]","[3, 21]","[3, 157]",0.3885,0.01,0.88,0.17,0.26
"[3, 251]","[3, 63]","[3, 50]","[3, 43]","[3, 24]","[3, 245]","[3, 127]","[3, 35]","[3, 116]","[3, 36]","[3, 208]",0.3895,0,0.6,0.05,0.11
"[3, 135]","[3, 18]","[3, 103]","[3, 228]","[3, 18]","[3, 222]","[3, 58]","[3, 58]","[3, 102]","[3, 184]","[3, 239]",0.3895,0.79,0.2,0.15,0.39
"[3, 232]","[3, 28]","[3, 139]","[3, 208]","[3, 141]","[3, 249]","[3, 246]","[3, 203]","[3, 250]","[3, 94]","[3, 145]",0.39,0.24,1.35,0.16,0.28
"[3, 204]","[3, 65]","[3, 25]","[3, 40]","[3, 65]","[3, 124]","[3, 177]","[3, 29]","[3, 223]","[3, 50]","[3, 159]",0.39,0.07,0.75,0.17,0.22
"[3, 220]","[3, 56]","[3, 197]","[3, 88]","[3, 254]","[3, 87]","[3, 52]","[3, 20]","[3, 199]","[3, 252]","[3, 145]",0.39,0.15,1.03,0.16,0.52
"[3, 198]","[3, 91]","[3, 33]","[3, 209]","[3, 48]","[3, 39]","[3, 27]","[3, 198]","[3, 211]","[3, 107]","[3, 221]",0.3905,0.07,1.17,0.17,0.3
"[3, 225]","[3, 247]","[3, 238]","[3, 97]","[3, 145]","[3, 88]","[3, 140]","[3, 123]","[3, 149]","[3, 111]","[3, 223]",0.3915,0.01,0.63,0.06,0.14
"[3, 220]","[3, 41]","[3, 22]","[3, 226]","[3, 209]","[3, 237]","[3, 72]","[3, 150]","[3, 58]","[3, 50]","[3, 41]",0.393,0.15,1.07,0.16,0.49
"[3, 179]","[3, 66]","[3, 84]","[3, 52]","[3, 192]","[3, 40]","[3, 44]","[3, 99]","[3, 176]","[3, 112]","[3, 233]",0.393,0.06,0.92,0.2,0.36
"[3, 139]","[3, 94]","[3, 207]","[3, 171]","[3, 90]","[3, 128]","[3, 179]","[3, 131]","[3, 169]","[3, 41]","[3, 176]",0.395,0.01,0.87,0.19,0.27
"[3, 218]","[3, 52]","[3, 156]","[3, 187]","[3, 22]","[3, 71]","[3, 107]","[3, 56]","[3, 223]","[3, 192]","[3, 42]",0.398,0.15,1.03,0.15,0.55
"[3, 248]","[3, 168]","[3, 15]","[3, 210]","[3, 19]","[3, 76]","[3, 73]","[3, 21]","[3, 146]","[3, 24]","[3, 57]",0.3985,0,0.61,0.05,0.15
"[3, 197]","[3, 94]","[3, 45]","[3, 30]","[3, 25]","[3, 166]","[3, 220]","[3, 73]","[3, 136]","[3, 69]","[3, 151]",0.3985,0.05,0.88,0.18,0.35
"[3, 206]","[3, 228]","[3, 49]","[3, 48]","[3, 174]","[3, 203]","[3, 45]","[3, 75]","[3, 107]","[3, 25]","[3, 98]",0.3985,0,0.56,0.04,0.11
"[3, 242]","[3, 201]","[3, 133]","[3, 26]","[3, 136]","[3, 16]","[3, 200]","[3, 179]","[3, 223]","[3, 157]","[3, 219]",0.4,0,0.54,0.05,0.09
"[3, 149]","[3, 100]","[3, 250]","[3, 214]","[3, 246]","[3, 196]","[3, 146]","[3, 228]","[3, 191]","[3, 92]","[3, 170]",0.4005,0.01,0.91,0.18,0.34
"[3, 185]","[3, 37]","[3, 226]","[3, 150]","[3, 244]","[3, 240]","[3, 47]","[3, 189]","[3, 181]","[3, 86]","[3, 169]",0.4005,0.04,0.84,0.17,0.31
"[3, 220]","[3, 242]","[3, 216]","[3, 77]","[3, 72]","[3, 167]","[3, 95]","[3, 228]","[3, 237]","[3, 27]","[3, 49]",0.4015,0,0.53,0.05,0.09
"[3, 206]","[3, 60]","[3, 77]","[3, 209]","[3, 130]","[3, 58]","[3, 44]","[3, 98]","[3, 182]","[3, 177]","[3, 167]",0.4015,0.15,0.88,0.18,0.45
"[3, 153]","[3, 17]","[3, 204]","[3, 196]","[3, 140]","[3, 215]","[3, 30]","[3, 21]","[3, 94]","[3, 27]","[3, 243]",0.402,0.01,1.17,0.18,0.26
"[3, 216]","[3, 76]","[3, 169]","[3, 53]","[3, 44]","[3, 30]","[3, 85]","[3, 28]","[3, 144]","[3, 32]","[3, 153]",0.402,0.13,1.33,0.16,0.24
"[3, 249]","[3, 177]","[3, 174]","[3, 61]","[3, 169]","[3, 197]","[3, 239]","[3, 146]","[3, 240]","[3, 143]","[3, 226]",0.4045,0,0.54,0.04,0.12
"[3, 232]","[3, 119]","[3, 239]","[3, 146]","[3, 16]","[3, 131]","[3, 146]","[3, 148]","[3, 182]","[3, 57]","[3, 89]",0.4045,0.04,0.51,0.06,0.12
"[3, 220]","[3, 235]","[3, 124]","[3, 239]","[3, 136]","[3, 44]","[3, 208]","[3, 26]","[3, 226]","[3, 29]","[3, 237]",0.4055,0,0.52,0.05,0.09
"[3, 170]","[3, 65]","[3, 42]","[3, 100]","[3, 186]","[3, 156]","[3, 132]","[3, 183]","[3, 111]","[3, 32]","[3, 215]",0.406,0.03,0.81,0.18,0.28
"[3, 66]","[3, 168]","[3, 72]","[3, 232]","[3, 208]","[3, 144]","[3, 125]","[3, 63]","[3, 244]","[3, 52]","[3, 79]",0.4065,0.02,0.97,0.26,0.35
"[3, 185]","[3, 131]","[3, 72]","[3, 252]","[3, 72]","[3, 177]","[3, 99]","[3, 183]","[3, 166]","[3, 24]","[3, 232]",0.4075,0.08,1.25,0.19,0.27
"[3, 212]","[3, 122]","[3, 92]","[3, 34]","[3, 214]","[3, 73]","[3, 226]","[3, 25]","[3, 88]","[3, 93]","[3, 27]",0.4075,0.2,0.99,0.21,0.6
"[3, 155]","[3, 128]","[3, 188]","[3, 147]","[3, 17]","[3, 53]","[3, 105]","[3, 67]","[3, 215]","[3, 131]","[3, 196]",0.4075,0.01,1.11,0.18,0.35
"[3, 241]","[3, 19]","[3, 32]","[3, 98]","[3, 227]","[3, 133]","[3, 210]","[3, 47]","[3, 251]","[3, 226]","[3, 179]",0.408,0.24,1.29,0.16,0.42
"[3, 186]","[3, 42]","[3, 164]","[3, 159]","[3, 128]","[3, 214]","[3, 24]","[3, 96]","[3, 246]","[3, 81]","[3, 103]",0.4085,0.04,0.84,0.17,0.34
"[3, 143]","[3, 54]","[3, 222]","[3, 124]","[3, 102]","[3, 20]","[3, 171]","[3, 117]","[3, 117]","[3, 77]","[3, 221]",0.409,0.01,0.87,0.18,0.34
"[3, 168]","[3, 103]","[3, 20]","[3, 212]","[3, 231]","[3, 106]","[3, 173]","[3, 151]","[3, 177]","[3, 67]","[3, 121]",0.409,0.01,1.14,0.17,0.34
"[3, 218]","[3, 49]","[3, 17]","[3, 195]","[3, 154]","[3, 24]","[3, 102]","[3, 87]","[3, 198]","[3, 96]","[3, 54]",0.409,0.15,1.08,0.19,0.52
"[3, 157]","[3, 193]","[3, 74]","[3, 49]","[3, 109]","[3, 107]","[3, 92]","[3, 28]","[3, 224]","[3, 118]","[3, 204]",0.4105,0.08,1.16,0.22,0.35
"[3, 177]","[3, 125]","[3, 185]","[3, 146]","[3, 94]","[3, 84]","[3, 49]","[3, 133]","[3, 209]","[3, 69]","[3, 236]",0.411,0.03,0.74,0.17,0.24
"[3, 250]","[3, 135]","[3, 109]","[3, 109]","[3, 85]","[3, 233]","[3, 191]","[3, 77]","[3, 254]","[3, 166]","[3, 224]",0.4125,0,0.53,0.06,0.12
"[3, 212]","[3, 30]","[3, 234]","[3, 53]","[3, 107]","[3, 214]","[3, 226]","[3, 219]","[3, 239]","[3, 91]","[3, 72]",0.413,0.12,0.79,0.17,0.39
"[3, 119]","[3, 215]","[3, 211]","[3, 72]","[3, 81]","[3, 234]","[3, 178]","[3, 244]","[3, 162]","[3, 35]","[3, 150]",0.4145,0,0.78,0.18,0.26
"[3, 209]","[3, 89]","[3, 224]","[3, 217]","[3, 229]","[3, 106]","[3, 165]","[3, 65]","[3, 123]","[3, 142]","[3, 81]",0.415,0.17,0.96,0.21,0.58
"[3, 210]","[3, 113]","[3, 91]","[3, 81]","[3, 121]","[3, 69]","[3, 138]","[3, 233]","[3, 208]","[3, 131]","[3, 116]",0.416,0.12,0.8,0.18,0.4
"[3, 190]","[3, 63]","[3, 98]","[3, 153]","[3, 78]","[3, 226]","[3, 125]","[3, 149]","[3, 160]","[3, 131]","[3, 249]",0.417,0.04,1.19,0.17,0.35
"[3, 120]","[3, 92]","[3, 252]","[3, 117]","[3, 103]","[3, 61]","[3, 212]","[3, 211]","[3, 83]","[3, 60]","[3, 182]",0.417,0.08,0.87,0.22,0.4
"[3, 226]","[3, 199]","[3, 235]","[3, 78]","[3, 159]","[3, 139]","[3, 83]","[3, 82]","[3, 212]","[3, 17]","[3, 179]",0.4185,0,0.44,0.05,0.07
"[3, 244]","[3, 22]","[3, 67]","[3, 61]","[3, 71]","[3, 195]","[3, 175]","[3, 242]","[3, 97]","[3, 164]","[3, 208]",0.4195,0.23,1.3,0.16,0.45
"[3, 94]","[3, 219]","[3, 208]","[3, 166]","[3, 67]","[3, 75]","[3, 23]","[3, 84]","[3, 140]","[3, 100]","[3, 241]",0.42,0,0.85,0.19,0.35
"[3, 213]","[3, 108]","[3, 105]","[3, 222]","[3, 21]","[3, 132]","[3, 168]","[3, 185]","[3, 247]","[3, 113]","[3, 188]",0.4205,0.02,0.48,0.07,0.12
"[3, 205]","[3, 132]","[3, 233]","[3, 120]","[3, 135]","[3, 123]","[3, 229]","[3, 103]","[3, 160]","[3, 116]","[3, 133]",0.4205,0.13,0.76,0.17,0.41
"[3, 85]","[3, 29]","[3, 57]","[3, 152]","[3, 164]","[3, 66]","[3, 33]","[3, 105]","[3, 204]","[3, 161]","[3, 254]",0.4205,0,0.86,0.2,0.34
"[3, 213]","[3, 48]","[3, 162]","[3, 182]","[3, 190]","[3, 191]","[3, 120]","[3, 140]","[3, 246]","[3, 150]","[3, 82]",0.421,0.14,0.78,0.16,0.45
"[3, 207]","[3, 27]","[3, 39]","[3, 75]","[3, 198]","[3, 142]","[3, 165]","[3, 125]","[3, 234]","[3, 112]","[3, 199]",0.4215,0.11,1.33,0.17,0.3
"[3, 248]","[3, 146]","[3, 131]","[3, 23]","[3, 97]","[3, 29]","[3, 41]","[3, 235]","[3, 210]","[3, 65]","[3, 178]",0.4215,0,0.42,0.04,0.07
"[3, 214]","[3, 116]","[3, 43]","[3, 44]","[3, 167]","[3, 215]","[3, 28]","[3, 191]","[3, 95]","[3, 67]","[3, 86]",0.4225,0.12,0.79,0.16,0.43
"[3, 83]","[3, 150]","[3, 222]","[3, 118]","[3, 115]","[3, 161]","[3, 150]","[3, 171]","[3, 172]","[3, 51]","[3, 87]",0.424,0,0.84,0.2,0.34
"[3, 139]","[3, 203]","[3, 232]","[3, 28]","[3, 44]","[3, 92]","[3, 251]","[3, 60]","[3, 166]","[3, 80]","[3, 231]",0.4245,0.16,0.74,0.24,0.35
"[3, 90]","[3, 66]","[3, 129]","[3, 175]","[3, 65]","[3, 45]","[3, 172]","[3, 119]","[3, 253]","[3, 128]","[3, 231]",0.4245,0,0.79,0.19,0.3
"[3, 129]","[3, 230]","[3, 58]","[3, 32]","[3, 134]","[3, 146]","[3, 84]","[3, 195]","[3, 184]","[3, 76]","[3, 178]",0.4245,0,0.81,0.18,0.32
"[3, 243]","[3, 141]","[3, 238]","[3, 41]","[3, 27]","[3, 93]","[3, 126]","[3, 29]","[3, 168]","[3, 72]","[3, 185]",0.4245,0,0.46,0.05,0.1
"[3, 211]","[3, 161]","[3, 223]","[3, 183]","[3, 83]","[3, 133]","[3, 96]","[3, 232]","[3, 254]","[3, 113]","[3, 254]",0.425,0,0.46,0.05,0.11
"[3, 205]","[3, 77]","[3, 181]","[3, 191]","[3, 40]","[3, 209]","[3, 88]","[3, 176]","[3, 168]","[3, 137]","[3, 33]",0.425,0.15,0.89,0.18,0.57
"[3, 211]","[3, 224]","[3, 177]","[3, 56]","[3, 154]","[3, 251]","[3, 50]","[3, 128]","[3, 219]","[3, 50]","[3, 169]",0.4255,0,1.58,0.06,0.07
"[3, 142]","[3, 83]","[3, 101]","[3, 84]","[3, 88]","[3, 157]","[3, 95]","[3, 253]","[3, 53]","[3, 41]","[3, 253]",0.426,0.07,0.83,0.21,0.4
"[3, 204]","[3, 92]","[3, 66]","[3, 66]","[3, 147]","[3, 162]","[3, 169]","[3, 87]","[3, 252]","[3, 131]","[3, 138]",0.4275,0.09,0.72,0.16,0.35
"[3, 76]","[3, 227]","[3, 30]","[3, 188]","[3, 95]","[3, 181]","[3, 67]","[3, 34]","[3, 252]","[3, 117]","[3, 166]",0.428,0,0.84,0.2,0.35
"[3, 207]","[3, 135]","[3, 95]","[3, 77]","[3, 132]","[3, 57]","[3, 156]","[3, 116]","[3, 97]","[3, 160]","[3, 251]",0.428,0.13,0.75,0.18,0.42
"[3, 206]","[3, 59]","[3, 160]","[3, 182]","[3, 179]","[3, 88]","[3, 247]","[3, 226]","[3, 174]","[3, 133]","[3, 71]",0.4285,0.11,0.83,0.16,0.5
"[3, 225]","[3, 245]","[3, 99]","[3, 194]","[3, 98]","[3, 228]","[3, 134]","[3, 194]","[3, 208]","[3, 78]","[3, 164]",0.4285,0,0.46,0.05,0.13
"[3, 240]","[3, 248]","[3, 123]","[3, 48]","[3, 27]","[3, 15]","[3, 248]","[3, 73]","[3, 178]","[3, 22]","[3, 194]",0.4285,0,0.45,0.05,0.12
"[3, 218]","[3, 35]","[3, 181]","[3, 29]","[3, 55]","[3, 80]","[3, 138]","[3, 136]","[3, 57]","[3, 173]","[3, 134]",0.429,0.12,0.86,0.15,0.54
"[3, 226]","[3, 254]","[3, 183]","[3, 140]","[3, 196]","[3, 119]","[3, 234]","[3, 62]","[3, 150]","[3, 75]","[3, 130]",0.4295,0,0.45,0.04,0.12
"[3, 244]","[3, 47]","[3, 146]","[3, 217]","[3, 16]","[3, 179]","[3, 155]","[3, 61]","[3, 193]","[3, 240]","[3, 64]",0.4295,0.73,0.12,0.28,0.29
"[3, 216]","[3, 71]","[3, 132]","[3, 229]","[3, 90]","[3, 22]","[3, 222]","[3, 120]","[3, 155]","[3, 241]","[3, 34]",0.4295,0.26,1.17,0.2,0.61
"[3, 253]","[3, 244]","[3, 202]","[3, 197]","[3, 171]","[3, 186]","[3, 27]","[3, 30]","[3, 174]","[3, 21]","[3, 217]",0.43,0,0.44,0.05,0.11
"[3, 222]","[3, 127]","[3, 202]","[3, 187]","[3, 87]","[3, 227]","[3, 221]","[3, 194]","[3, 241]","[3, 77]","[3, 97]",0.4305,0,0.43,0.05,0.11
"[3, 76]","[3, 102]","[3, 142]","[3, 194]","[3, 187]","[3, 86]","[3, 73]","[3, 156]","[3, 174]","[3, 103]","[3, 207]",0.4305,0,0.81,0.19,0.35
"[3, 153]","[3, 171]","[3, 106]","[3, 212]","[3, 253]","[3, 124]","[3, 211]","[3, 184]","[3, 214]","[3, 105]","[3, 165]",0.431,0.01,1.2,0.17,0.36
"[3, 237]","[3, 25]","[3, 76]","[3, 39]","[3, 54]","[3, 213]","[3, 165]","[3, 239]","[3, 77]","[3, 75]","[3, 184]",0.4325,0.2,1.4,0.16,0.37
"[3, 181]","[3, 103]","[3, 253]","[3, 234]","[3, 117]","[3, 216]","[3, 199]","[3, 197]","[3, 79]","[3, 72]","[3, 207]",0.433,0.03,0.77,0.17,0.36
"[3, 206]","[3, 254]","[3, 106]","[3, 119]","[3, 152]","[3, 217]","[3, 40]","[3, 51]","[3, 236]","[3, 33]","[3, 73]",0.433,0,0.4,0.06,0.08
