"PC_w0","PC_w1","PC_w2","PC_AG","PC_NG","PC_SG","PV_w0","PV_w1","PV_w2","PV_AG","PV_GG","error","cv_PC","cv_PV","syn_PC","syn_PV"
"[3, 21]","[3, 161]","[3, 90]","[3, 51]","[3, 202]","[3, 129]","[3, 165]","[3, 162]","[3, 232]","[3, 114]","[3, 54]",,0,0,,
"[3, 52]","[3, 183]","[3, 100]","[3, 26]","[3, 193]","[3, 117]","[3, 148]","[3, 80]","[3, 75]","[3, 231]","[3, 197]",,0,0,0,
"[3, 43]","[3, 80]","[3, 59]","[3, 93]","[3, 90]","[3, 144]","[3, 220]","[3, 128]","[3, 34]","[3, 77]","[3, 143]",,0,0,,
"[3, 27]","[3, 86]","[3, 85]","[3, 171]","[3, 145]","[3, 241]","[3, 153]","[3, 246]","[3, 109]","[3, 186]","[3, 99]",,0,0,,
"[3, 62]","[3, 26]","[3, 76]","[3, 19]","[3, 36]","[3, 65]","[3, 116]","[3, 194]","[3, 137]","[3, 144]","[3, 238]",,0,0,0.57,
"[3, 15]","[3, 179]","[3, 80]","[3, 39]","[3, 226]","[3, 223]","[3, 191]","[3, 192]","[3, 27]","[3, 17]","[3, 156]",,0,0,,
"[3, 43]","[3, 208]","[3, 206]","[3, 131]","[3, 244]","[3, 188]","[3, 29]","[3, 226]","[3, 151]","[3, 189]","[3, 126]",,0,0,,
"[3, 22]","[3, 111]","[3, 49]","[3, 25]","[3, 244]","[3, 166]","[3, 243]","[3, 115]","[3, 165]","[3, 210]","[3, 59]",,0,0,,
"[3, 51]","[3, 31]","[3, 74]","[3, 150]","[3, 186]","[3, 93]","[3, 193]","[3, 155]","[3, 194]","[3, 61]","[3, 45]",,0,0,0,
"[3, 28]","[3, 150]","[3, 121]","[3, 41]","[3, 131]","[3, 208]","[3, 223]","[3, 42]","[3, 49]","[3, 146]","[3, 46]",,0,0,,
"[3, 39]","[3, 217]","[3, 141]","[3, 56]","[3, 161]","[3, 138]","[3, 212]","[3, 208]","[3, 38]","[3, 21]","[3, 159]",,0,0,,
"[3, 23]","[3, 235]","[3, 147]","[3, 155]","[3, 146]","[3, 139]","[3, 251]","[3, 140]","[3, 95]","[3, 229]","[3, 165]",,0,0,,
"[3, 17]","[3, 84]","[3, 66]","[3, 47]","[3, 67]","[3, 92]","[3, 100]","[3, 24]","[3, 194]","[3, 163]","[3, 179]",,0,0,,
"[3, 15]","[3, 17]","[3, 240]","[3, 195]","[3, 182]","[3, 21]","[3, 92]","[3, 72]","[3, 235]","[3, 208]","[3, 234]",,0,0,,
"[3, 21]","[3, 63]","[3, 147]","[3, 168]","[3, 207]","[3, 246]","[3, 229]","[3, 187]","[3, 64]","[3, 100]","[3, 72]",,0,0,,
"[3, 18]","[3, 80]","[3, 24]","[3, 159]","[3, 152]","[3, 242]","[3, 223]","[3, 223]","[3, 128]","[3, 130]","[3, 209]",,0,0,,
"[3, 24]","[3, 36]","[3, 42]","[3, 216]","[3, 63]","[3, 112]","[3, 99]","[3, 62]","[3, 141]","[3, 237]","[3, 227]",,0,0,,
"[3, 24]","[3, 226]","[3, 191]","[3, 206]","[3, 23]","[3, 165]","[3, 204]","[3, 253]","[3, 186]","[3, 62]","[3, 88]",,0,0,,
"[3, 17]","[3, 32]","[3, 39]","[3, 93]","[3, 26]","[3, 192]","[3, 30]","[3, 233]","[3, 220]","[3, 89]","[3, 150]",,0,0,,
"[3, 51]","[3, 93]","[3, 201]","[3, 39]","[3, 28]","[3, 101]","[3, 143]","[3, 110]","[3, 21]","[3, 178]","[3, 25]",,0,0,0,
"[3, 21]","[3, 29]","[3, 118]","[3, 98]","[3, 241]","[3, 114]","[3, 135]","[3, 90]","[3, 184]","[3, 179]","[3, 188]",,0,0,,
"[3, 36]","[3, 41]","[3, 208]","[3, 99]","[3, 113]","[3, 188]","[3, 16]","[3, 81]","[3, 117]","[3, 180]","[3, 139]",,0,0,,
"[3, 49]","[3, 193]","[3, 46]","[3, 146]","[3, 195]","[3, 180]","[3, 169]","[3, 141]","[3, 150]","[3, 240]","[3, 189]",,0,0,0,
"[3, 15]","[3, 48]","[3, 112]","[3, 174]","[3, 39]","[3, 186]","[3, 132]","[3, 210]","[3, 158]","[3, 32]","[3, 97]",,0,0,,
"[3, 23]","[3, 101]","[3, 25]","[3, 166]","[3, 186]","[3, 244]","[3, 27]","[3, 67]","[3, 221]","[3, 177]","[3, 28]",,0,0,,
"[3, 58]","[3, 40]","[3, 22]","[3, 18]","[3, 69]","[3, 199]","[3, 42]","[3, 188]","[3, 133]","[3, 83]","[3, 156]",,0,0,0,
"[3, 53]","[3, 118]","[3, 87]","[3, 203]","[3, 194]","[3, 52]","[3, 90]","[3, 248]","[3, 48]","[3, 102]","[3, 187]",,0,0,0,
"[3, 60]","[3, 155]","[3, 162]","[3, 43]","[3, 47]","[3, 147]","[3, 121]","[3, 138]","[3, 154]","[3, 229]","[3, 49]",,0,0,0.57,
"[3, 45]","[3, 32]","[3, 121]","[3, 203]","[3, 37]","[3, 90]","[3, 18]","[3, 42]","[3, 170]","[3, 96]","[3, 85]",,0,0,,
"[3, 19]","[3, 121]","[3, 54]","[3, 222]","[3, 35]","[3, 162]","[3, 72]","[3, 168]","[3, 166]","[3, 79]","[3, 113]",,0,0,,
"[3, 19]","[3, 209]","[3, 141]","[3, 88]","[3, 248]","[3, 124]","[3, 42]","[3, 190]","[3, 118]","[3, 134]","[3, 136]",,0,0,,
"[3, 35]","[3, 188]","[3, 225]","[3, 51]","[3, 145]","[3, 180]","[3, 167]","[3, 137]","[3, 123]","[3, 247]","[3, 188]",,0,0,,
"[3, 44]","[3, 183]","[3, 112]","[3, 61]","[3, 86]","[3, 41]","[3, 203]","[3, 128]","[3, 107]","[3, 132]","[3, 50]",,0,0,,
"[3, 38]","[3, 38]","[3, 240]","[3, 18]","[3, 242]","[3, 163]","[3, 181]","[3, 251]","[3, 245]","[3, 147]","[3, 168]",,0,0,,
"[3, 23]","[3, 32]","[3, 44]","[3, 79]","[3, 227]","[3, 248]","[3, 215]","[3, 250]","[3, 144]","[3, 15]","[3, 44]",,0,0,,
"[3, 38]","[3, 86]","[3, 79]","[3, 80]","[3, 80]","[3, 224]","[3, 114]","[3, 38]","[3, 92]","[3, 245]","[3, 237]",,0,0,,
"[3, 56]","[3, 132]","[3, 230]","[3, 181]","[3, 154]","[3, 254]","[3, 29]","[3, 136]","[3, 88]","[3, 37]","[3, 46]",,0.01,0,0.5,
"[3, 39]","[3, 40]","[3, 229]","[3, 16]","[3, 31]","[3, 112]","[3, 18]","[3, 175]","[3, 87]","[3, 22]","[3, 189]",,0,0,,
"[3, 24]","[3, 192]","[3, 82]","[3, 42]","[3, 90]","[3, 187]","[3, 89]","[3, 99]","[3, 79]","[3, 228]","[3, 44]",,0,0,,
"[3, 57]","[3, 196]","[3, 53]","[3, 141]","[3, 57]","[3, 100]","[3, 62]","[3, 72]","[3, 36]","[3, 16]","[3, 158]",,0,0,0.5,
"[3, 25]","[3, 122]","[3, 244]","[3, 238]","[3, 215]","[3, 209]","[3, 36]","[3, 190]","[3, 235]","[3, 90]","[3, 94]",,0,0,,
"[3, 42]","[3, 26]","[3, 183]","[3, 219]","[3, 88]","[3, 37]","[3, 191]","[3, 164]","[3, 239]","[3, 199]","[3, 195]",,0,0,,
"[3, 39]","[3, 132]","[3, 212]","[3, 180]","[3, 33]","[3, 149]","[3, 162]","[3, 237]","[3, 43]","[3, 99]","[3, 244]",,0,0,,
"[3, 15]","[3, 86]","[3, 67]","[3, 101]","[3, 55]","[3, 92]","[3, 193]","[3, 166]","[3, 97]","[3, 114]","[3, 252]",,0,0,,
"[3, 61]","[3, 34]","[3, 170]","[3, 20]","[3, 155]","[3, 237]","[3, 208]","[3, 46]","[3, 191]","[3, 186]","[3, 113]",,0,0,0.57,
"[3, 18]","[3, 230]","[3, 169]","[3, 31]","[3, 18]","[3, 187]","[3, 119]","[3, 223]","[3, 111]","[3, 131]","[3, 247]",,0,0,,
"[3, 43]","[3, 99]","[3, 90]","[3, 16]","[3, 185]","[3, 125]","[3, 172]","[3, 229]","[3, 152]","[3, 191]","[3, 76]",,0,0,,
"[3, 34]","[3, 24]","[3, 138]","[3, 183]","[3, 94]","[3, 95]","[3, 68]","[3, 207]","[3, 17]","[3, 39]","[3, 91]",,0,0,,
"[3, 52]","[3, 192]","[3, 153]","[3, 95]","[3, 142]","[3, 27]","[3, 113]","[3, 169]","[3, 118]","[3, 222]","[3, 208]",,0,0,0,
"[3, 18]","[3, 124]","[3, 55]","[3, 52]","[3, 122]","[3, 30]","[3, 217]","[3, 127]","[3, 128]","[3, 211]","[3, 41]",,0,0,,
