PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[4, 64]","[1, 96]","[4, 170]","[1, 184]","[1, 59]","[4, 155]","[3, 203]","[2, 241]","[2, 59]","[2, 225]","[1, 154]",0.999,0.405
"[4, 22]","[3, 68]","[4, 217]","[2, 234]","[2, 25]","[4, 72]","[4, 69]","[1, 127]","[1, 90]","[2, 246]","[0, 99]",0.999,
"[4, 235]","[4, 96]","[3, 15]","[1, 92]","[1, 90]","[4, 66]","[3, 148]","[1, 208]","[1, 138]","[1, 54]","[1, 163]",1.0,0.03
"[4, 44]","[2, 91]","[3, 170]","[1, 191]","[2, 111]","[4, 68]","[3, 18]","[2, 150]","[2, 23]","[1, 188]","[1, 192]",0.938,0.13
"[4, 164]","[3, 141]","[3, 53]","[1, 215]","[1, 124]","[4, 200]","[3, 19]","[2, 77]","[2, 248]","[2, 102]","[0, 87]",0.866,0.146
"[4, 242]","[2, 14]","[3, 139]","[1, 154]","[2, 85]","[4, 219]","[4, 194]","[2, 164]","[1, 44]","[2, 25]","[1, 129]",0.998,0.433
"[4, 42]","[1, 100]","[4, 17]","[2, 14]","[2, 249]","[4, 111]","[4, 175]","[2, 186]","[1, 49]","[1, 245]","[1, 123]",0.998,0.221
"[4, 206]","[4, 29]","[3, 230]","[1, 126]","[1, 163]","[4, 46]","[4, 220]","[2, 87]","[1, 94]","[1, 173]","[1, 88]",0.998,0.476
"[4, 55]","[2, 42]","[3, 189]","[1, 73]","[2, 43]","[4, 94]","[4, 126]","[2, 155]","[1, 90]","[2, 132]","[1, 211]",0.999,0.026
"[4, 20]","[4, 198]","[3, 59]","[2, 23]","[1, 225]","[4, 59]","[4, 174]","[1, 158]","[1, 249]","[2, 53]","[1, 181]",0.974,0.121
"[4, 244]","[4, 187]","[4, 55]","[1, 10]","[1, 138]","[4, 36]","[4, 183]","[1, 33]","[2, 104]","[2, 159]","[1, 174]",1.0,
"[4, 31]","[3, 202]","[4, 74]","[1, 125]","[1, 147]","[4, 34]","[4, 82]","[2, 74]","[2, 81]","[1, 40]","[0, 137]",0.95,0.046
"[4, 123]","[4, 181]","[4, 111]","[1, 179]","[1, 81]","[4, 11]","[3, 221]","[1, 43]","[1, 232]","[1, 37]","[1, 252]",1.0,0.026
"[4, 65]","[2, 186]","[3, 77]","[2, 151]","[1, 163]","[4, 43]","[4, 180]","[1, 225]","[1, 154]","[1, 176]","[1, 142]",0.9,0.335
"[4, 250]","[2, 247]","[3, 232]","[1, 222]","[2, 243]","[4, 41]","[3, 170]","[1, 23]","[2, 196]","[2, 224]","[0, 196]",0.998,0.417
"[4, 98]","[2, 113]","[4, 55]","[1, 82]","[2, 52]","[4, 208]","[4, 95]","[1, 210]","[1, 179]","[2, 26]","[1, 15]",0.999,0.24
"[4, 196]","[2, 127]","[4, 167]","[2, 193]","[2, 159]","[4, 89]","[3, 173]","[2, 45]","[2, 46]","[1, 66]","[1, 83]",0.994,0.084
"[4, 174]","[2, 231]","[4, 18]","[1, 138]","[1, 145]","[4, 155]","[3, 47]","[1, 215]","[2, 34]","[2, 90]","[0, 168]",0.732,0.165
"[4, 227]","[3, 82]","[4, 66]","[1, 96]","[1, 243]","[4, 191]","[4, 175]","[1, 144]","[2, 193]","[2, 148]","[0, 36]",1.0,0.291
"[4, 110]","[2, 172]","[4, 254]","[2, 242]","[2, 93]","[4, 50]","[4, 211]","[1, 130]","[1, 212]","[1, 148]","[1, 37]",0.999,0.55
"[4, 149]","[1, 113]","[3, 209]","[2, 177]","[1, 68]","[4, 19]","[3, 217]","[1, 103]","[1, 234]","[2, 246]","[1, 222]",0.909,0.188
"[4, 138]","[2, 185]","[4, 69]","[2, 109]","[2, 105]","[4, 142]","[4, 83]","[1, 253]","[1, 135]","[2, 72]","[1, 101]",0.998,0.52
"[4, 30]","[4, 133]","[3, 75]","[2, 245]","[1, 138]","[4, 172]","[3, 254]","[1, 42]","[2, 57]","[2, 58]","[0, 159]",0.548,0.227
"[4, 93]","[3, 30]","[3, 32]","[2, 17]","[1, 31]","[4, 168]","[4, 249]","[1, 179]","[2, 176]","[1, 33]","[0, 106]",0.999,0.019
"[4, 194]","[4, 129]","[4, 141]","[2, 59]","[1, 37]","[4, 54]","[3, 190]","[2, 33]","[1, 91]","[2, 197]","[0, 144]",0.999,0.527
"[4, 243]","[1, 162]","[4, 198]","[1, 233]","[2, 171]","[4, 90]","[4, 61]","[2, 36]","[2, 157]","[2, 247]","[1, 180]",0.999,0.533
"[4, 186]","[1, 111]","[4, 138]","[2, 65]","[1, 120]","[4, 183]","[4, 208]","[2, 149]","[1, 92]","[2, 176]","[0, 220]",1.0,0.557
"[4, 84]","[4, 219]","[3, 90]","[2, 50]","[2, 75]","[4, 31]","[3, 213]","[1, 50]","[2, 127]","[1, 99]","[0, 107]",0.999,0.039
"[4, 230]","[3, 161]","[4, 250]","[2, 39]","[2, 122]","[4, 251]","[3, 96]","[1, 80]","[1, 113]","[2, 238]","[1, 24]",0.988,0.504
"[4, 197]","[4, 38]","[3, 54]","[2, 108]","[2, 139]","[4, 46]","[3, 14]","[2, 132]","[1, 191]","[1, 84]","[0, 58]",0.989,0.027
"[4, 148]","[4, 106]","[4, 25]","[2, 94]","[2, 22]","[4, 215]","[3, 232]","[1, 217]","[1, 238]","[1, 188]","[1, 13]",0.741,0.227
"[4, 21]","[4, 61]","[4, 89]","[2, 58]","[1, 81]","[4, 71]","[3, 207]","[1, 94]","[2, 48]","[2, 242]","[1, 245]",0.999,0.381
"[4, 98]","[4, 235]","[3, 140]","[2, 200]","[2, 222]","[4, 74]","[3, 187]","[2, 53]","[2, 221]","[1, 191]","[1, 228]",0.998,0.054
"[4, 115]","[4, 17]","[4, 91]","[1, 49]","[2, 118]","[4, 198]","[3, 190]","[2, 177]","[1, 100]","[2, 224]","[1, 250]",0.999,0.504
"[4, 204]","[1, 163]","[4, 11]","[2, 251]","[1, 133]","[4, 110]","[4, 153]","[1, 224]","[1, 140]","[2, 146]","[0, 29]",0.962,0.332
"[4, 40]","[2, 135]","[3, 97]","[2, 97]","[1, 65]","[4, 59]","[4, 135]","[1, 94]","[2, 101]","[2, 244]","[0, 27]",1.0,0.239
"[4, 116]","[2, 64]","[4, 64]","[2, 217]","[2, 204]","[4, 47]","[4, 212]","[1, 36]","[1, 194]","[2, 77]","[0, 54]",0.999,0.353
"[4, 125]","[4, 111]","[3, 84]","[2, 99]","[2, 91]","[4, 57]","[3, 186]","[1, 226]","[2, 237]","[1, 124]","[0, 35]",0.999,0.064
"[4, 94]","[2, 138]","[3, 99]","[2, 105]","[1, 231]","[4, 55]","[4, 243]","[2, 14]","[1, 135]","[1, 72]","[1, 38]",0.888,0.226
"[4, 208]","[3, 38]","[4, 45]","[2, 116]","[1, 212]","[4, 143]","[4, 33]","[1, 44]","[1, 112]","[1, 53]","[0, 178]",0.985,0.08
"[4, 221]","[3, 103]","[4, 221]","[1, 114]","[1, 199]","[4, 173]","[4, 224]","[2, 147]","[2, 155]","[1, 34]","[0, 73]",0.989,0.431
"[4, 198]","[2, 76]","[3, 13]","[1, 141]","[1, 222]","[4, 176]","[4, 212]","[2, 63]","[1, 205]","[2, 254]","[1, 25]",0.998,0.205
"[4, 224]","[3, 156]","[4, 142]","[1, 186]","[2, 59]","[4, 209]","[3, 96]","[1, 254]","[1, 126]","[2, 175]","[1, 102]",0.996,0.502
"[4, 231]","[3, 207]","[3, 164]","[2, 97]","[1, 119]","[4, 184]","[4, 22]","[1, 72]","[2, 121]","[2, 35]","[0, 165]",0.821,0.316
"[4, 72]","[4, 16]","[3, 12]","[2, 29]","[2, 75]","[4, 37]","[4, 21]","[1, 32]","[2, 81]","[2, 244]","[0, 143]",1.0,0.141
"[4, 147]","[2, 36]","[4, 184]","[1, 98]","[1, 227]","[4, 141]","[3, 119]","[1, 158]","[2, 66]","[2, 63]","[1, 25]",0.809,0.308
"[4, 99]","[2, 171]","[3, 228]","[1, 94]","[1, 237]","[4, 136]","[4, 67]","[1, 47]","[1, 142]","[2, 154]","[0, 178]",0.998,0.276
"[4, 102]","[3, 103]","[3, 160]","[2, 52]","[2, 175]","[4, 55]","[4, 219]","[2, 95]","[2, 215]","[2, 190]","[0, 40]",1.0,0.411
"[4, 63]","[2, 177]","[3, 74]","[2, 69]","[2, 217]","[4, 129]","[4, 56]","[2, 201]","[2, 104]","[2, 200]","[1, 73]",0.998,0.338
"[4, 136]","[1, 43]","[3, 148]","[1, 16]","[1, 121]","[4, 44]","[4, 225]","[2, 181]","[2, 179]","[2, 109]","[0, 141]",1.0,0.032
"[4, 78]","[3, 57]","[4, 173]","[1, 162]","[2, 146]","[4, 13]","[3, 30]","[2, 234]","[2, 39]","[1, 76]","[0, 192]",0.978,0.033
"[4, 89]","[2, 47]","[4, 229]","[1, 183]","[2, 87]","[4, 225]","[4, 134]","[2, 183]","[2, 86]","[1, 206]","[1, 14]",0.999,0.576
"[4, 77]","[3, 39]","[4, 99]","[2, 185]","[2, 25]","[4, 211]","[3, 245]","[1, 125]","[1, 29]","[1, 39]","[1, 66]",0.993,0.03
"[4, 24]","[2, 115]","[4, 177]","[2, 54]","[2, 95]","[4, 220]","[3, 54]","[2, 217]","[1, 50]","[1, 190]","[1, 174]",0.873,0.622
"[4, 196]","[3, 78]","[4, 185]","[2, 186]","[2, 186]","[4, 240]","[3, 249]","[1, 249]","[2, 141]","[1, 166]","[1, 138]",0.903,0.301
"[4, 188]","[3, 35]","[4, 226]","[2, 212]","[2, 24]","[4, 225]","[4, 194]","[2, 140]","[1, 132]","[1, 189]","[1, 250]",0.999,0.522
"[4, 182]","[2, 210]","[3, 229]","[2, 50]","[1, 132]","[4, 28]","[4, 234]","[1, 250]","[2, 12]","[1, 166]","[0, 126]",0.998,0.442
"[4, 51]","[4, 207]","[4, 34]","[1, 239]","[2, 115]","[4, 75]","[4, 114]","[1, 108]","[2, 218]","[1, 57]","[1, 244]",0.989,0.05
"[4, 121]","[4, 53]","[4, 53]","[1, 135]","[1, 222]","[4, 251]","[4, 155]","[2, 82]","[2, 206]","[2, 108]","[0, 57]",0.999,0.489
"[4, 249]","[1, 142]","[4, 160]","[1, 153]","[2, 188]","[4, 134]","[3, 146]","[2, 94]","[1, 199]","[1, 45]","[0, 52]",0.996,0.03
"[4, 224]","[1, 168]","[4, 215]","[1, 93]","[1, 137]","[4, 61]","[3, 131]","[2, 236]","[2, 242]","[2, 103]","[0, 108]",0.977,0.411
"[4, 109]","[3, 237]","[3, 75]","[1, 11]","[1, 107]","[4, 94]","[3, 160]","[2, 242]","[2, 189]","[2, 66]","[1, 214]",1.43,0.268
"[4, 64]","[2, 149]","[3, 127]","[1, 230]","[1, 147]","[4, 254]","[3, 134]","[1, 225]","[2, 164]","[2, 221]","[0, 22]",0.995,0.273
"[4, 58]","[4, 64]","[4, 246]","[2, 75]","[2, 159]","[4, 118]","[3, 121]","[2, 150]","[1, 151]","[1, 251]","[0, 194]",0.984,0.674
"[4, 226]","[2, 126]","[4, 100]","[2, 89]","[1, 185]","[4, 169]","[3, 91]","[2, 31]","[1, 223]","[1, 187]","[0, 208]",0.887,0.086
"[4, 148]","[3, 135]","[3, 130]","[1, 21]","[1, 220]","[4, 157]","[4, 250]","[2, 100]","[2, 38]","[2, 172]","[1, 156]",1.0,0.272
"[4, 169]","[2, 79]","[3, 10]","[2, 213]","[2, 65]","[4, 168]","[3, 14]","[2, 120]","[2, 142]","[1, 216]","[0, 150]",0.998,0.067
"[4, 251]","[3, 254]","[3, 234]","[1, 199]","[2, 27]","[4, 133]","[4, 132]","[2, 123]","[1, 85]","[1, 30]","[0, 196]",0.978,0.036
"[4, 137]","[3, 73]","[4, 204]","[1, 220]","[2, 18]","[4, 176]","[3, 104]","[2, 82]","[1, 176]","[1, 175]","[1, 92]",0.82,0.09
"[4, 64]","[3, 253]","[3, 42]","[2, 159]","[1, 160]","[4, 191]","[3, 74]","[1, 144]","[2, 92]","[2, 170]","[0, 85]",0.739,0.192
"[4, 24]","[1, 71]","[4, 139]","[2, 171]","[2, 206]","[4, 24]","[3, 210]","[1, 252]","[2, 195]","[1, 131]","[1, 122]",0.946,0.14
"[4, 50]","[4, 67]","[3, 10]","[2, 19]","[1, 18]","[4, 164]","[4, 225]","[2, 221]","[2, 251]","[1, 195]","[1, 101]",0.986,0.08
"[4, 49]","[1, 222]","[3, 240]","[2, 198]","[1, 26]","[4, 79]","[4, 77]","[2, 40]","[1, 122]","[2, 191]","[1, 95]",0.999,0.251
"[4, 149]","[3, 117]","[4, 236]","[2, 42]","[1, 214]","[4, 111]","[3, 66]","[2, 110]","[1, 147]","[1, 220]","[0, 88]",0.908,0.556
"[4, 208]","[3, 177]","[4, 55]","[2, 29]","[2, 88]","[4, 177]","[3, 153]","[2, 217]","[2, 70]","[2, 123]","[1, 74]",0.992,0.455
"[4, 90]","[2, 104]","[3, 43]","[2, 106]","[2, 195]","[4, 225]","[3, 152]","[2, 46]","[2, 208]","[2, 106]","[1, 228]",0.856,0.214
"[4, 170]","[2, 196]","[3, 125]","[1, 63]","[1, 222]","[4, 42]","[4, 158]","[2, 127]","[1, 220]","[1, 63]","[1, 101]",0.89,0.111
"[4, 159]","[3, 79]","[3, 53]","[1, 205]","[2, 10]","[4, 161]","[3, 138]","[1, 90]","[1, 179]","[1, 108]","[0, 167]",0.994,0.039
"[4, 192]","[4, 83]","[4, 75]","[1, 83]","[2, 207]","[4, 19]","[4, 121]","[1, 14]","[2, 99]","[2, 110]","[1, 25]",0.977,0.129
"[4, 106]","[4, 37]","[4, 176]","[2, 213]","[1, 147]","[4, 47]","[3, 166]","[1, 138]","[1, 208]","[2, 226]","[0, 226]",0.999,0.523
"[4, 103]","[3, 135]","[4, 166]","[1, 159]","[2, 190]","[4, 129]","[3, 220]","[2, 186]","[2, 42]","[1, 143]","[1, 65]",0.97,0.399
"[4, 76]","[2, 118]","[3, 114]","[1, 226]","[1, 183]","[4, 148]","[4, 168]","[2, 237]","[1, 71]","[1, 170]","[1, 14]",0.998,0.394
"[4, 86]","[3, 14]","[3, 102]","[2, 186]","[1, 80]","[4, 232]","[3, 211]","[2, 253]","[1, 230]","[2, 76]","[1, 120]",0.829,0.252
"[4, 245]","[1, 169]","[4, 64]","[1, 206]","[1, 171]","[4, 221]","[3, 172]","[2, 209]","[1, 75]","[2, 159]","[1, 106]",0.999,0.513
"[4, 13]","[1, 11]","[4, 243]","[2, 83]","[2, 156]","[4, 173]","[4, 41]","[2, 201]","[1, 238]","[2, 67]","[1, 176]",0.999,
"[4, 82]","[4, 103]","[3, 254]","[1, 216]","[2, 154]","[4, 34]","[4, 198]","[1, 121]","[1, 125]","[1, 228]","[0, 195]",0.988,0.081
"[4, 20]","[4, 121]","[3, 43]","[2, 18]","[1, 111]","[4, 20]","[3, 12]","[2, 56]","[1, 218]","[2, 205]","[1, 185]",0.997,0.23
"[4, 58]","[1, 12]","[4, 48]","[1, 66]","[1, 193]","[4, 188]","[3, 132]","[2, 25]","[2, 108]","[2, 68]","[1, 16]",0.852,0.079
"[4, 218]","[2, 204]","[3, 219]","[2, 51]","[2, 194]","[4, 117]","[4, 148]","[2, 158]","[2, 199]","[2, 87]","[1, 242]",0.999,0.425
"[4, 198]","[3, 192]","[4, 57]","[2, 208]","[1, 183]","[4, 139]","[4, 208]","[2, 241]","[2, 49]","[2, 187]","[1, 116]",1.0,0.535
"[4, 215]","[3, 222]","[4, 38]","[1, 67]","[1, 160]","[4, 187]","[4, 104]","[1, 193]","[1, 13]","[1, 40]","[0, 144]",0.691,0.049
"[4, 197]","[2, 228]","[4, 66]","[1, 193]","[1, 197]","[4, 114]","[3, 84]","[2, 159]","[2, 218]","[1, 115]","[0, 137]",0.923,0.054
"[4, 236]","[4, 166]","[4, 87]","[2, 16]","[2, 242]","[4, 193]","[3, 54]","[1, 167]","[1, 211]","[2, 214]","[0, 69]",0.763,0.421
"[4, 227]","[2, 248]","[3, 109]","[2, 155]","[1, 167]","[4, 69]","[4, 27]","[1, 107]","[2, 117]","[1, 197]","[1, 58]",0.986,0.043
"[4, 77]","[3, 119]","[3, 45]","[1, 70]","[1, 180]","[4, 118]","[4, 218]","[1, 250]","[2, 249]","[2, 196]","[1, 82]",0.999,0.336
"[4, 169]","[2, 207]","[3, 106]","[1, 22]","[1, 146]","[4, 93]","[3, 252]","[1, 115]","[1, 105]","[2, 179]","[1, 149]",0.998,0.365
"[4, 165]","[2, 102]","[3, 77]","[2, 75]","[1, 86]","[4, 92]","[3, 218]","[1, 194]","[2, 58]","[2, 106]","[0, 50]",0.845,0.235
"[4, 225]","[4, 221]","[3, 232]","[2, 10]","[1, 27]","[4, 72]","[4, 49]","[1, 29]","[1, 43]","[2, 11]","[1, 62]",0.891,0.034
"[4, 210]","[3, 113]","[4, 224]","[2, 71]","[1, 237]","[4, 136]","[4, 15]","[1, 98]","[2, 92]","[1, 15]","[0, 100]",1.0,
"[4, 88]","[1, 68]","[3, 62]","[2, 214]","[2, 175]","[4, 248]","[4, 211]","[2, 159]","[1, 113]","[1, 138]","[1, 229]",0.991,0.332
"[4, 177]","[3, 136]","[4, 248]","[2, 82]","[2, 148]","[4, 95]","[4, 219]","[2, 91]","[1, 228]","[1, 202]","[1, 202]",0.998,0.518
"[4, 161]","[2, 203]","[3, 124]","[1, 96]","[2, 196]","[4, 116]","[3, 221]","[2, 45]","[1, 185]","[2, 116]","[0, 172]",0.994,0.403
"[4, 140]","[2, 225]","[3, 232]","[1, 234]","[1, 148]","[4, 71]","[4, 151]","[2, 101]","[2, 120]","[2, 165]","[1, 218]",0.999,0.273
"[4, 141]","[2, 96]","[3, 199]","[2, 138]","[1, 142]","[4, 169]","[4, 83]","[2, 253]","[1, 92]","[1, 19]","[0, 130]",1.0,0.034
"[4, 12]","[1, 102]","[4, 132]","[1, 248]","[1, 181]","[4, 26]","[4, 128]","[1, 129]","[1, 133]","[2, 176]","[0, 246]",0.999,
"[4, 65]","[1, 159]","[3, 230]","[2, 137]","[1, 213]","[4, 90]","[4, 86]","[1, 130]","[1, 167]","[1, 22]","[0, 132]",1.0,0.027
"[4, 26]","[2, 56]","[4, 212]","[2, 60]","[1, 95]","[4, 149]","[4, 14]","[1, 176]","[2, 174]","[1, 99]","[1, 149]",0.98,0.046
"[4, 88]","[1, 118]","[4, 157]","[1, 222]","[2, 20]","[4, 15]","[3, 45]","[1, 215]","[2, 185]","[1, 215]","[0, 251]",0.883,0.127
"[4, 91]","[1, 220]","[3, 48]","[1, 96]","[2, 71]","[4, 159]","[3, 230]","[2, 213]","[1, 135]","[2, 106]","[0, 204]",2.297,0.291
"[4, 183]","[2, 18]","[3, 136]","[2, 83]","[2, 29]","[4, 48]","[4, 191]","[1, 40]","[1, 209]","[2, 80]","[0, 180]",0.998,0.415
