PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[4, 252]","[4, 166]","[4, 168]","[1, 194]","[1, 133]","[4, 191]","[3, 73]","[1, 125]","[2, 130]","[2, 83]","[0, 240]",0.854,0.462
"[4, 14]","[3, 163]","[4, 128]","[1, 59]","[1, 111]","[4, 63]","[4, 30]","[2, 80]","[2, 182]","[1, 168]","[1, 148]",1.0,
"[4, 35]","[2, 185]","[3, 89]","[1, 247]","[2, 85]","[4, 140]","[4, 36]","[2, 239]","[2, 180]","[2, 191]","[1, 254]",0.996,0.34
"[4, 245]","[2, 27]","[3, 116]","[1, 236]","[1, 26]","[4, 32]","[4, 198]","[1, 247]","[2, 71]","[1, 135]","[0, 49]",0.927,0.31
"[4, 200]","[2, 171]","[4, 179]","[2, 129]","[2, 151]","[4, 70]","[3, 26]","[1, 129]","[2, 101]","[1, 31]","[0, 107]",0.997,
"[4, 98]","[4, 241]","[4, 46]","[2, 154]","[1, 132]","[4, 252]","[4, 68]","[2, 216]","[2, 45]","[1, 172]","[1, 22]",0.872,0.283
"[4, 215]","[3, 123]","[3, 146]","[1, 183]","[2, 189]","[4, 211]","[3, 78]","[1, 210]","[2, 149]","[1, 50]","[1, 219]",0.996,0.033
"[4, 99]","[4, 151]","[4, 42]","[2, 126]","[2, 62]","[4, 98]","[3, 224]","[1, 243]","[2, 211]","[1, 95]","[1, 127]",0.995,0.029
"[4, 86]","[2, 138]","[3, 63]","[2, 219]","[2, 193]","[4, 65]","[4, 253]","[2, 41]","[2, 253]","[1, 86]","[0, 28]",0.985,0.16
"[4, 194]","[1, 217]","[3, 223]","[2, 42]","[1, 39]","[4, 207]","[4, 187]","[1, 12]","[2, 158]","[1, 72]","[0, 219]",0.998,0.348
"[4, 125]","[2, 100]","[4, 169]","[2, 49]","[2, 80]","[4, 201]","[4, 125]","[1, 246]","[2, 86]","[1, 42]","[1, 117]",0.948,0.115
"[4, 67]","[4, 84]","[4, 34]","[1, 45]","[2, 48]","[4, 152]","[3, 119]","[1, 71]","[2, 155]","[2, 204]","[1, 103]",0.993,0.461
"[4, 76]","[2, 188]","[4, 73]","[2, 66]","[2, 23]","[4, 192]","[4, 176]","[2, 25]","[1, 28]","[2, 145]","[0, 60]",0.995,0.542
"[4, 175]","[2, 112]","[3, 46]","[1, 192]","[1, 181]","[4, 177]","[4, 249]","[2, 81]","[2, 208]","[1, 68]","[1, 86]",0.787,0.065
"[4, 167]","[1, 106]","[3, 238]","[1, 212]","[1, 95]","[4, 205]","[3, 125]","[2, 23]","[1, 151]","[2, 175]","[0, 32]",0.99,0.397
"[4, 196]","[1, 22]","[3, 140]","[2, 64]","[2, 117]","[4, 168]","[4, 16]","[1, 21]","[1, 43]","[1, 110]","[1, 17]",0.991,0.042
"[4, 58]","[4, 195]","[4, 253]","[2, 171]","[1, 147]","[4, 83]","[3, 178]","[2, 196]","[2, 207]","[1, 208]","[1, 146]",0.991,0.672
"[4, 54]","[2, 200]","[3, 33]","[1, 22]","[2, 70]","[4, 166]","[4, 140]","[1, 164]","[2, 24]","[2, 146]","[0, 227]",0.999,0.023
"[4, 20]","[1, 43]","[4, 52]","[2, 252]","[1, 218]","[4, 87]","[4, 20]","[1, 162]","[1, 130]","[2, 217]","[1, 12]",0.999,0.287
"[4, 72]","[4, 107]","[4, 227]","[1, 199]","[1, 208]","[4, 120]","[4, 47]","[1, 181]","[2, 215]","[1, 84]","[1, 136]",0.926,0.099
"[4, 246]","[1, 232]","[3, 70]","[2, 250]","[1, 37]","[4, 241]","[3, 222]","[2, 238]","[2, 88]","[2, 21]","[0, 89]",0.946,0.028
"[4, 100]","[3, 11]","[3, 160]","[1, 155]","[2, 163]","[4, 81]","[3, 203]","[2, 186]","[2, 164]","[1, 53]","[1, 180]",0.999,0.043
"[4, 60]","[1, 52]","[3, 198]","[1, 11]","[1, 248]","[4, 48]","[4, 87]","[2, 254]","[1, 15]","[1, 99]","[1, 29]",1.0,
"[4, 105]","[1, 136]","[3, 247]","[2, 231]","[2, 35]","[4, 147]","[3, 101]","[2, 94]","[1, 227]","[2, 50]","[1, 74]",0.725,0.289
"[4, 66]","[3, 171]","[4, 63]","[2, 88]","[1, 230]","[4, 48]","[3, 156]","[2, 168]","[1, 49]","[1, 183]","[0, 19]",0.831,0.253
"[4, 34]","[4, 68]","[3, 204]","[1, 120]","[2, 177]","[4, 85]","[3, 159]","[1, 34]","[1, 83]","[1, 221]","[1, 72]",0.983,0.09
"[4, 242]","[3, 139]","[3, 239]","[2, 28]","[2, 210]","[4, 95]","[3, 163]","[1, 232]","[2, 199]","[1, 73]","[0, 122]",0.964,0.038
"[4, 103]","[1, 56]","[4, 113]","[1, 253]","[1, 148]","[4, 224]","[4, 34]","[2, 202]","[2, 248]","[2, 176]","[0, 213]",0.999,0.481
"[4, 29]","[3, 235]","[4, 251]","[1, 174]","[2, 11]","[4, 20]","[4, 46]","[2, 133]","[1, 192]","[2, 109]","[0, 127]",1.0,
"[4, 75]","[4, 55]","[4, 32]","[1, 148]","[1, 235]","[4, 186]","[4, 235]","[1, 240]","[2, 25]","[2, 126]","[0, 154]",1.0,0.528
"[4, 191]","[1, 236]","[4, 89]","[2, 180]","[2, 168]","[4, 23]","[3, 152]","[2, 13]","[2, 207]","[2, 68]","[1, 205]",0.878,0.257
"[4, 142]","[2, 242]","[4, 31]","[2, 238]","[1, 25]","[4, 250]","[3, 247]","[1, 77]","[2, 171]","[2, 120]","[0, 195]",0.999,0.424
"[4, 26]","[2, 77]","[4, 187]","[1, 225]","[2, 11]","[4, 225]","[4, 231]","[2, 88]","[2, 90]","[2, 247]","[1, 216]",1.0,
"[4, 71]","[4, 187]","[3, 20]","[1, 69]","[1, 46]","[4, 78]","[4, 32]","[2, 231]","[1, 250]","[2, 136]","[1, 148]",0.512,0.162
"[4, 133]","[4, 64]","[4, 228]","[2, 193]","[1, 68]","[4, 152]","[3, 116]","[1, 86]","[1, 46]","[2, 108]","[1, 81]",0.831,0.296
"[4, 79]","[3, 62]","[3, 136]","[2, 192]","[1, 13]","[4, 98]","[4, 162]","[1, 44]","[2, 155]","[2, 104]","[1, 30]",0.999,0.363
"[4, 89]","[3, 148]","[4, 152]","[1, 84]","[1, 48]","[4, 74]","[3, 15]","[1, 112]","[1, 169]","[1, 170]","[1, 225]",0.965,0.07
"[4, 209]","[2, 122]","[4, 226]","[2, 14]","[1, 82]","[4, 224]","[4, 113]","[2, 44]","[2, 124]","[1, 212]","[1, 112]",0.999,0.48
"[4, 33]","[3, 136]","[3, 182]","[1, 149]","[1, 179]","[4, 64]","[3, 237]","[1, 80]","[2, 143]","[2, 147]","[0, 185]",0.998,0.325
"[4, 27]","[4, 173]","[4, 223]","[1, 172]","[2, 125]","[4, 121]","[4, 161]","[1, 108]","[2, 220]","[2, 86]","[0, 32]",0.999,
"[4, 13]","[3, 105]","[3, 192]","[2, 97]","[2, 217]","[4, 230]","[4, 189]","[1, 179]","[2, 129]","[1, 58]","[0, 109]",0.944,0.16
"[4, 171]","[3, 94]","[3, 40]","[1, 197]","[2, 225]","[4, 157]","[3, 192]","[2, 51]","[1, 160]","[2, 195]","[1, 71]",2.515,0.308
"[4, 196]","[4, 153]","[4, 155]","[2, 41]","[2, 204]","[4, 44]","[3, 250]","[1, 116]","[1, 177]","[2, 135]","[0, 118]",0.998,0.383
"[4, 28]","[3, 117]","[3, 242]","[1, 49]","[1, 34]","[4, 75]","[3, 53]","[2, 224]","[1, 39]","[1, 100]","[1, 104]",0.999,
"[4, 20]","[4, 242]","[3, 100]","[2, 76]","[2, 207]","[4, 211]","[3, 244]","[2, 49]","[2, 167]","[1, 49]","[1, 205]",0.988,0.076
"[4, 177]","[1, 81]","[3, 133]","[1, 211]","[1, 45]","[4, 251]","[4, 145]","[2, 246]","[1, 126]","[1, 216]","[1, 66]",0.999,0.372
"[4, 160]","[3, 38]","[3, 121]","[1, 147]","[2, 76]","[4, 234]","[3, 25]","[2, 140]","[1, 160]","[2, 189]","[0, 27]",0.649,0.192
"[4, 194]","[2, 102]","[3, 217]","[1, 102]","[2, 55]","[4, 49]","[4, 144]","[2, 98]","[2, 172]","[1, 37]","[1, 104]",0.907,0.034
"[4, 110]","[4, 76]","[3, 87]","[1, 29]","[2, 229]","[4, 184]","[3, 114]","[1, 97]","[2, 222]","[2, 25]","[1, 29]",0.998,0.064
"[4, 109]","[2, 246]","[3, 200]","[1, 159]","[1, 100]","[4, 205]","[4, 186]","[1, 56]","[2, 185]","[1, 88]","[1, 220]",0.999,0.327
"[4, 36]","[2, 179]","[4, 84]","[1, 15]","[2, 37]","[4, 74]","[4, 228]","[2, 13]","[2, 193]","[1, 247]","[0, 237]",0.998,
"[4, 206]","[1, 61]","[3, 219]","[1, 94]","[1, 232]","[4, 109]","[3, 139]","[1, 88]","[1, 107]","[1, 237]","[0, 226]",0.763,0.105
"[4, 137]","[3, 46]","[3, 154]","[2, 26]","[1, 56]","[4, 237]","[4, 96]","[2, 243]","[1, 242]","[2, 186]","[0, 232]",0.999,0.276
"[4, 57]","[4, 142]","[3, 170]","[2, 49]","[1, 249]","[4, 63]","[4, 242]","[2, 33]","[1, 105]","[1, 245]","[0, 61]",0.998,0.413
"[4, 242]","[4, 105]","[3, 144]","[2, 112]","[1, 242]","[4, 199]","[4, 125]","[1, 128]","[2, 189]","[1, 236]","[1, 232]",0.997,0.423
"[4, 37]","[2, 42]","[3, 60]","[2, 105]","[2, 155]","[4, 160]","[4, 29]","[1, 232]","[2, 208]","[1, 240]","[1, 250]",0.881,0.08
"[4, 60]","[1, 158]","[4, 209]","[2, 26]","[1, 54]","[4, 209]","[3, 108]","[2, 233]","[2, 11]","[2, 235]","[1, 240]",0.998,0.304
"[4, 210]","[1, 234]","[3, 25]","[2, 225]","[2, 11]","[4, 195]","[4, 227]","[2, 190]","[2, 152]","[2, 182]","[0, 162]",0.669,0.225
"[4, 217]","[2, 41]","[3, 180]","[2, 57]","[2, 15]","[4, 21]","[4, 31]","[1, 60]","[2, 182]","[1, 57]","[1, 122]",0.995,0.063
"[4, 81]","[1, 31]","[3, 210]","[1, 145]","[1, 128]","[4, 180]","[3, 16]","[2, 195]","[2, 42]","[1, 88]","[1, 210]",0.887,0.045
"[4, 41]","[3, 150]","[4, 186]","[2, 47]","[1, 114]","[4, 252]","[3, 111]","[1, 106]","[2, 47]","[2, 75]","[1, 160]",0.793,0.298
"[4, 197]","[3, 124]","[4, 238]","[1, 91]","[2, 10]","[4, 189]","[4, 165]","[2, 61]","[2, 151]","[1, 19]","[0, 223]",0.985,0.024
"[4, 183]","[3, 253]","[3, 108]","[2, 119]","[2, 150]","[4, 226]","[4, 241]","[2, 219]","[2, 210]","[1, 173]","[1, 133]",0.998,0.348
"[4, 57]","[4, 212]","[4, 223]","[2, 241]","[1, 205]","[4, 133]","[4, 177]","[2, 20]","[1, 101]","[2, 66]","[0, 190]",0.999,
"[4, 12]","[4, 140]","[3, 42]","[2, 15]","[2, 171]","[4, 247]","[3, 158]","[2, 170]","[1, 190]","[2, 33]","[1, 37]",0.981,0.366
"[4, 209]","[4, 129]","[3, 160]","[1, 86]","[2, 184]","[4, 171]","[3, 29]","[2, 236]","[2, 105]","[1, 63]","[1, 43]",0.999,0.035
"[4, 58]","[1, 156]","[3, 57]","[2, 15]","[1, 38]","[4, 25]","[4, 141]","[1, 33]","[1, 189]","[1, 34]","[1, 131]",0.98,0.023
"[4, 118]","[1, 198]","[3, 198]","[1, 10]","[2, 130]","[4, 141]","[3, 210]","[1, 246]","[2, 89]","[2, 59]","[0, 141]",0.987,0.022
"[4, 184]","[3, 198]","[3, 116]","[1, 180]","[2, 220]","[4, 134]","[3, 167]","[1, 221]","[1, 165]","[1, 219]","[1, 130]",0.975,0.07
"[4, 240]","[1, 226]","[3, 116]","[1, 78]","[1, 44]","[4, 176]","[4, 91]","[2, 105]","[2, 158]","[2, 92]","[1, 26]",0.998,0.299
"[4, 243]","[2, 76]","[4, 52]","[2, 188]","[2, 174]","[4, 169]","[3, 47]","[1, 60]","[1, 149]","[2, 196]","[0, 72]",0.727,0.202
"[4, 170]","[3, 246]","[4, 111]","[2, 11]","[1, 216]","[4, 84]","[3, 215]","[1, 251]","[2, 44]","[1, 52]","[0, 108]",0.999,0.035
"[4, 236]","[4, 130]","[4, 27]","[1, 217]","[1, 53]","[4, 89]","[3, 69]","[1, 128]","[1, 223]","[1, 165]","[0, 147]",0.936,0.042
"[4, 54]","[3, 182]","[4, 62]","[2, 68]","[2, 70]","[4, 190]","[4, 186]","[2, 254]","[1, 208]","[1, 72]","[1, 253]",0.999,0.428
"[4, 175]","[4, 86]","[3, 206]","[2, 96]","[1, 75]","[4, 184]","[3, 77]","[1, 152]","[1, 159]","[2, 186]","[1, 103]",0.723,0.279
"[4, 158]","[4, 150]","[4, 220]","[2, 107]","[2, 92]","[4, 137]","[4, 58]","[1, 219]","[2, 107]","[2, 178]","[1, 203]",0.999,0.519
"[4, 123]","[4, 204]","[3, 241]","[2, 133]","[2, 208]","[4, 247]","[4, 90]","[2, 34]","[2, 29]","[1, 192]","[1, 23]",0.745,0.157
"[4, 225]","[4, 248]","[4, 21]","[1, 199]","[1, 97]","[4, 215]","[4, 90]","[2, 222]","[2, 175]","[1, 36]","[1, 184]",0.978,0.031
"[4, 100]","[4, 217]","[3, 81]","[1, 122]","[1, 164]","[4, 246]","[4, 156]","[2, 115]","[2, 246]","[2, 71]","[1, 106]",0.999,0.441
"[4, 154]","[4, 194]","[4, 161]","[2, 196]","[2, 133]","[4, 140]","[4, 253]","[2, 88]","[2, 80]","[2, 235]","[1, 250]",0.994,0.545
"[4, 176]","[3, 124]","[3, 142]","[2, 31]","[2, 158]","[4, 103]","[4, 205]","[2, 71]","[2, 126]","[2, 200]","[0, 166]",1.0,0.475
"[4, 185]","[1, 16]","[3, 154]","[1, 42]","[1, 134]","[4, 85]","[3, 69]","[2, 47]","[2, 192]","[2, 94]","[0, 63]",0.882,0.176
"[4, 78]","[3, 206]","[4, 221]","[1, 139]","[1, 196]","[4, 192]","[4, 25]","[1, 115]","[1, 146]","[1, 115]","[0, 145]",0.897,0.119
"[4, 207]","[3, 132]","[3, 12]","[2, 127]","[2, 78]","[4, 43]","[4, 20]","[2, 98]","[1, 72]","[1, 144]","[1, 192]",0.987,0.049
"[4, 113]","[3, 36]","[3, 68]","[1, 53]","[1, 207]","[4, 33]","[3, 239]","[1, 173]","[2, 89]","[1, 45]","[1, 108]",1.0,0.027
"[4, 211]","[3, 205]","[3, 246]","[2, 190]","[1, 97]","[4, 189]","[3, 39]","[1, 53]","[2, 216]","[1, 36]","[1, 228]",0.997,0.022
"[4, 113]","[3, 82]","[3, 138]","[2, 79]","[1, 177]","[4, 11]","[3, 224]","[1, 235]","[2, 91]","[2, 121]","[0, 229]",0.887,0.142
"[4, 163]","[3, 211]","[4, 24]","[2, 251]","[1, 63]","[4, 166]","[4, 207]","[2, 80]","[1, 252]","[2, 209]","[0, 72]",1.0,0.432
"[4, 220]","[4, 116]","[3, 155]","[2, 233]","[1, 181]","[4, 156]","[3, 219]","[1, 12]","[2, 141]","[2, 43]","[0, 128]",0.86,0.189
"[4, 101]","[1, 78]","[4, 162]","[1, 98]","[1, 211]","[4, 126]","[4, 236]","[2, 184]","[1, 73]","[2, 169]","[0, 26]",1.0,
"[4, 96]","[4, 109]","[3, 12]","[2, 67]","[2, 222]","[4, 181]","[3, 54]","[2, 126]","[2, 73]","[2, 76]","[0, 112]",0.998,0.129
"[4, 116]","[3, 246]","[4, 142]","[2, 81]","[2, 69]","[4, 237]","[4, 250]","[1, 164]","[2, 126]","[1, 51]","[0, 47]",0.999,0.502
"[4, 240]","[3, 83]","[4, 118]","[1, 11]","[2, 191]","[4, 127]","[3, 134]","[1, 224]","[1, 204]","[2, 167]","[1, 105]",0.997,0.343
"[4, 93]","[4, 246]","[4, 114]","[2, 63]","[2, 52]","[4, 181]","[4, 113]","[2, 46]","[2, 199]","[1, 177]","[0, 21]",0.999,0.498
"[4, 141]","[1, 47]","[4, 93]","[1, 202]","[2, 102]","[4, 160]","[4, 65]","[2, 115]","[1, 171]","[2, 136]","[0, 201]",0.998,0.359
"[4, 171]","[4, 115]","[3, 236]","[1, 137]","[1, 39]","[4, 139]","[3, 204]","[2, 58]","[2, 72]","[2, 163]","[0, 82]",0.998,0.465
"[4, 203]","[2, 30]","[3, 191]","[1, 198]","[2, 163]","[4, 126]","[4, 25]","[1, 16]","[2, 210]","[1, 173]","[1, 71]",0.876,0.101
"[4, 70]","[4, 87]","[3, 143]","[1, 61]","[1, 239]","[4, 215]","[4, 142]","[2, 97]","[1, 160]","[2, 173]","[0, 134]",0.999,0.483
"[4, 232]","[3, 104]","[3, 86]","[2, 101]","[2, 164]","[4, 81]","[3, 193]","[2, 153]","[1, 15]","[1, 177]","[1, 98]",0.997,0.045
"[4, 33]","[4, 247]","[3, 232]","[1, 170]","[1, 91]","[4, 82]","[4, 45]","[2, 187]","[2, 53]","[1, 42]","[0, 138]",0.989,0.059
"[4, 24]","[4, 30]","[4, 76]","[2, 159]","[2, 10]","[4, 235]","[4, 229]","[2, 104]","[2, 214]","[1, 174]","[0, 201]",0.998,
"[4, 13]","[1, 188]","[3, 84]","[2, 211]","[1, 45]","[4, 36]","[4, 101]","[2, 173]","[2, 219]","[1, 78]","[1, 33]",0.992,0.043
"[4, 31]","[1, 178]","[3, 41]","[1, 222]","[2, 19]","[4, 139]","[3, 29]","[1, 252]","[2, 177]","[2, 108]","[0, 133]",0.863,0.218
"[4, 53]","[1, 152]","[4, 146]","[2, 57]","[2, 251]","[4, 31]","[4, 241]","[1, 234]","[2, 246]","[2, 57]","[1, 221]",0.999,
"[4, 188]","[3, 225]","[4, 57]","[1, 207]","[2, 156]","[4, 240]","[3, 126]","[1, 189]","[1, 241]","[2, 157]","[0, 111]",0.983,0.439
"[4, 185]","[3, 104]","[4, 145]","[2, 82]","[2, 28]","[4, 19]","[3, 226]","[2, 232]","[2, 162]","[1, 197]","[0, 178]",0.956,0.464
"[4, 143]","[4, 96]","[4, 71]","[2, 125]","[1, 37]","[4, 67]","[4, 250]","[2, 65]","[2, 234]","[2, 77]","[1, 206]",0.999,0.507
"[4, 14]","[2, 249]","[4, 237]","[2, 186]","[1, 98]","[4, 227]","[3, 79]","[2, 141]","[2, 94]","[1, 157]","[0, 166]",0.807,0.106
"[4, 159]","[2, 103]","[4, 125]","[2, 76]","[2, 97]","[4, 194]","[3, 206]","[1, 158]","[2, 198]","[2, 105]","[1, 17]",0.981,0.47
"[4, 167]","[2, 78]","[3, 38]","[1, 202]","[2, 21]","[4, 59]","[3, 186]","[1, 190]","[1, 83]","[2, 121]","[0, 30]",0.887,0.17
"[4, 253]","[3, 68]","[3, 61]","[1, 236]","[1, 106]","[4, 35]","[3, 44]","[1, 189]","[2, 241]","[2, 78]","[0, 143]",0.844,0.089
"[4, 121]","[1, 252]","[4, 248]","[1, 101]","[1, 139]","[4, 190]","[3, 45]","[2, 99]","[1, 79]","[1, 236]","[0, 191]",0.431,0.224
"[4, 197]","[1, 88]","[4, 213]","[1, 93]","[2, 201]","[4, 127]","[3, 27]","[2, 217]","[2, 189]","[2, 112]","[1, 122]",0.8,0.533
"[4, 134]","[1, 168]","[3, 116]","[1, 227]","[2, 49]","[4, 75]","[3, 120]","[1, 171]","[2, 140]","[2, 45]","[0, 154]",0.598,0.278
"[4, 161]","[1, 25]","[4, 46]","[1, 251]","[1, 121]","[4, 147]","[4, 155]","[2, 244]","[1, 105]","[2, 210]","[1, 207]",0.993,0.488
"[4, 115]","[4, 134]","[4, 156]","[2, 229]","[2, 177]","[4, 189]","[3, 234]","[2, 82]","[2, 158]","[2, 230]","[0, 130]",0.992,0.491
"[4, 104]","[4, 127]","[3, 158]","[1, 51]","[2, 254]","[4, 158]","[3, 127]","[2, 141]","[1, 216]","[1, 29]","[0, 142]",0.992,0.03
"[4, 215]","[1, 194]","[3, 83]","[1, 244]","[1, 84]","[4, 32]","[3, 107]","[2, 165]","[2, 13]","[1, 95]","[1, 71]",0.991,0.045
"[4, 227]","[2, 113]","[3, 186]","[2, 205]","[1, 87]","[4, 48]","[4, 17]","[2, 120]","[2, 78]","[2, 104]","[1, 30]",4.539,0.499
"[4, 93]","[4, 92]","[4, 29]","[1, 169]","[1, 110]","[4, 34]","[4, 207]","[2, 149]","[2, 117]","[2, 137]","[1, 142]",1.0,0.515
"[4, 131]","[2, 88]","[4, 188]","[1, 137]","[1, 194]","[4, 161]","[4, 220]","[1, 215]","[2, 61]","[2, 103]","[1, 157]",0.995,
"[4, 110]","[2, 151]","[3, 33]","[2, 202]","[2, 64]","[4, 141]","[4, 61]","[1, 101]","[2, 139]","[1, 40]","[0, 222]",0.998,0.084
"[4, 95]","[4, 109]","[4, 232]","[1, 106]","[1, 19]","[4, 147]","[3, 25]","[2, 90]","[1, 237]","[1, 133]","[1, 93]",0.961,0.068
"[4, 187]","[4, 115]","[3, 71]","[2, 40]","[2, 218]","[4, 65]","[3, 157]","[2, 19]","[1, 12]","[2, 208]","[1, 166]",0.999,0.1
"[4, 153]","[4, 91]","[3, 196]","[1, 161]","[2, 114]","[4, 248]","[3, 197]","[2, 16]","[1, 24]","[1, 245]","[0, 29]",0.764,0.387
"[4, 72]","[3, 29]","[3, 78]","[2, 176]","[1, 95]","[4, 25]","[3, 127]","[2, 206]","[1, 130]","[1, 14]","[0, 124]",1.0,
"[4, 134]","[4, 207]","[4, 122]","[2, 223]","[2, 249]","[4, 35]","[4, 146]","[2, 135]","[1, 39]","[1, 94]","[0, 179]",0.989,0.047
"[4, 24]","[1, 66]","[4, 222]","[1, 249]","[1, 219]","[4, 123]","[3, 92]","[1, 137]","[1, 151]","[2, 83]","[0, 144]",0.779,0.155
"[4, 118]","[4, 217]","[3, 190]","[1, 181]","[2, 21]","[4, 36]","[3, 66]","[1, 79]","[1, 161]","[1, 88]","[1, 195]",0.99,0.049
"[4, 63]","[2, 14]","[3, 159]","[2, 84]","[2, 191]","[4, 55]","[3, 132]","[1, 227]","[2, 102]","[2, 138]","[0, 109]",0.729,0.222
"[4, 91]","[2, 167]","[4, 222]","[2, 20]","[1, 49]","[4, 125]","[4, 87]","[2, 120]","[2, 58]","[2, 124]","[0, 104]",0.999,0.539
"[4, 252]","[1, 104]","[4, 202]","[2, 107]","[1, 97]","[4, 170]","[3, 160]","[1, 65]","[2, 222]","[1, 198]","[0, 139]",0.871,0.18
"[4, 157]","[2, 182]","[3, 44]","[2, 124]","[1, 59]","[4, 219]","[4, 249]","[2, 20]","[2, 122]","[1, 63]","[0, 103]",0.922,0.047
"[4, 84]","[1, 205]","[4, 90]","[2, 25]","[2, 105]","[4, 112]","[3, 166]","[1, 50]","[1, 38]","[1, 207]","[0, 54]",0.895,0.38
"[4, 215]","[1, 167]","[4, 143]","[1, 38]","[2, 118]","[4, 192]","[3, 105]","[1, 110]","[1, 18]","[1, 147]","[0, 143]",0.885,0.08
"[4, 164]","[4, 12]","[4, 23]","[1, 198]","[2, 130]","[4, 180]","[3, 74]","[1, 164]","[2, 106]","[1, 244]","[0, 104]",0.889,0.355
"[4, 27]","[2, 221]","[4, 145]","[1, 122]","[2, 191]","[4, 57]","[4, 109]","[2, 28]","[2, 254]","[1, 20]","[1, 176]",0.995,0.056
"[4, 81]","[1, 72]","[3, 119]","[1, 207]","[1, 67]","[4, 98]","[3, 140]","[2, 198]","[2, 109]","[2, 191]","[0, 102]",0.974,0.298
"[4, 90]","[1, 120]","[3, 51]","[2, 118]","[1, 187]","[4, 153]","[4, 166]","[1, 196]","[1, 116]","[1, 67]","[1, 84]",0.72,0.043
"[4, 151]","[4, 169]","[4, 212]","[2, 97]","[1, 61]","[4, 254]","[4, 254]","[2, 182]","[1, 47]","[2, 81]","[0, 35]",0.999,0.518
