PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[0, 225]","[0, 249]","[0, 204]","[1, 219]","[2, 206]","[1, 79]","[0, 119]","[3, 130]","[1, 25]","[0, 248]","[2, 140]",,0.0,0.0,,
"[1, 188]","[0, 119]","[3, 134]","[4, 155]","[2, 127]","[0, 39]","[4, 60]","[4, 226]","[1, 130]","[0, 87]","[1, 78]",,0.0,0.0,,
"[1, 73]","[1, 22]","[4, 243]","[3, 237]","[1, 113]","[4, 148]","[1, 101]","[2, 226]","[4, 247]","[1, 182]","[3, 234]",,0.0,0.0,,
"[3, 199]","[0, 169]","[3, 56]","[4, 37]","[4, 206]","[3, 94]","[4, 228]","[1, 14]","[4, 13]","[0, 251]","[2, 251]",0.5305,0.0,0.0,0.1,0.03
"[3, 92]","[2, 84]","[1, 157]","[0, 187]","[1, 212]","[3, 58]","[2, 104]","[4, 47]","[3, 116]","[4, 199]","[1, 161]",,0.0,0.0,,
"[3, 171]","[3, 14]","[4, 104]","[0, 26]","[1, 71]","[3, 134]","[2, 154]","[4, 211]","[4, 125]","[2, 74]","[1, 65]",,0.0,0.0,,
"[1, 126]","[0, 74]","[3, 179]","[0, 39]","[4, 163]","[4, 41]","[4, 225]","[1, 232]","[3, 80]","[0, 213]","[1, 179]",,0.0,0.0,,0.04
"[3, 103]","[0, 79]","[0, 198]","[3, 210]","[0, 23]","[0, 243]","[3, 118]","[0, 26]","[3, 65]","[1, 203]","[4, 20]",,0.0,0.0,0.1,
"[0, 93]","[3, 112]","[1, 164]","[4, 44]","[3, 190]","[3, 56]","[1, 41]","[3, 91]","[1, 116]","[1, 49]","[0, 178]",,0.0,0.0,,
"[1, 119]","[0, 73]","[2, 174]","[4, 214]","[2, 37]","[3, 237]","[1, 118]","[0, 183]","[2, 127]","[0, 251]","[0, 89]",,0.0,0.0,,
"[0, 115]","[1, 161]","[4, 21]","[0, 33]","[0, 175]","[0, 243]","[4, 76]","[0, 159]","[2, 69]","[0, 241]","[0, 201]",,0.0,0.0,,
"[1, 199]","[1, 213]","[2, 251]","[1, 184]","[1, 86]","[1, 244]","[2, 72]","[4, 206]","[1, 248]","[1, 14]","[1, 131]",,0.0,0.0,,
"[2, 225]","[4, 152]","[2, 21]","[3, 185]","[2, 219]","[1, 56]","[2, 100]","[2, 11]","[1, 178]","[1, 112]","[1, 27]",,0.0,0.0,,
"[0, 165]","[3, 86]","[0, 110]","[4, 241]","[0, 91]","[4, 140]","[2, 233]","[2, 87]","[2, 201]","[0, 129]","[0, 14]",,0.0,0.0,,
"[2, 92]","[0, 178]","[4, 145]","[4, 138]","[0, 137]","[0, 70]","[3, 139]","[3, 95]","[0, 111]","[2, 102]","[3, 26]",,0.0,0.0,,0.0
"[1, 139]","[1, 181]","[4, 176]","[1, 207]","[0, 67]","[3, 68]","[2, 10]","[4, 196]","[4, 219]","[1, 127]","[3, 50]",,0.0,0.0,,
"[0, 235]","[3, 178]","[0, 148]","[4, 40]","[2, 232]","[2, 55]","[2, 172]","[3, 155]","[1, 231]","[0, 95]","[0, 34]",,0.0,0.0,,
"[4, 181]","[1, 36]","[0, 133]","[3, 238]","[3, 74]","[1, 145]","[2, 226]","[4, 51]","[2, 250]","[0, 209]","[2, 21]",0.5105,0.01,0.03,0.06,0.03
"[1, 21]","[3, 81]","[3, 161]","[2, 51]","[0, 211]","[4, 211]","[0, 101]","[0, 41]","[1, 243]","[3, 206]","[3, 99]",,0.0,0.0,,
"[1, 184]","[4, 144]","[2, 208]","[2, 20]","[2, 217]","[3, 16]","[0, 49]","[4, 218]","[1, 201]","[2, 24]","[2, 230]",,0.0,0.0,,
"[3, 92]","[3, 102]","[4, 116]","[0, 236]","[3, 52]","[1, 187]","[2, 70]","[3, 26]","[0, 210]","[0, 109]","[0, 224]",,0.0,0.0,,
"[4, 204]","[0, 36]","[2, 112]","[3, 161]","[4, 112]","[2, 224]","[2, 174]","[4, 109]","[0, 133]","[0, 186]","[4, 70]",0.544,0.0,0.01,0.05,0.13
"[4, 76]","[4, 253]","[1, 90]","[0, 152]","[1, 88]","[4, 234]","[1, 132]","[3, 69]","[2, 254]","[0, 236]","[0, 161]",0.536,0.0,0.0,0.14,0.0
"[1, 233]","[3, 179]","[2, 177]","[2, 152]","[1, 20]","[3, 78]","[1, 148]","[4, 138]","[4, 74]","[2, 232]","[3, 203]",,0.0,0.0,,
"[3, 228]","[3, 48]","[4, 139]","[2, 182]","[1, 21]","[3, 154]","[2, 88]","[4, 51]","[4, 74]","[1, 119]","[2, 110]",0.354,0.24,0.38,0.04,-0.0
