PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[0, 77]","[4, 170]","[3, 203]","[0, 41]","[3, 107]","[3, 185]","[1, 60]","[1, 12]","[4, 119]","[0, 43]","[4, 125]",,0.0,0.0,,
"[2, 219]","[3, 113]","[4, 184]","[2, 148]","[1, 63]","[4, 160]","[3, 103]","[3, 157]","[1, 162]","[0, 188]","[3, 44]",,0.0,0.0,,
"[4, 65]","[1, 156]","[4, 51]","[4, 37]","[3, 192]","[0, 209]","[1, 30]","[4, 184]","[0, 244]","[1, 48]","[3, 254]",0.5355,0.0,1.91,0.05,0.18
"[3, 246]","[4, 94]","[0, 219]","[0, 165]","[1, 21]","[3, 104]","[2, 144]","[2, 86]","[2, 103]","[3, 249]","[1, 149]",,0.0,0.0,,
"[4, 55]","[3, 192]","[1, 28]","[0, 10]","[3, 137]","[3, 16]","[2, 97]","[2, 208]","[3, 127]","[1, 23]","[3, 221]",,0.0,0.0,,
"[4, 176]","[3, 14]","[2, 102]","[1, 81]","[4, 225]","[2, 123]","[3, 34]","[2, 176]","[4, 149]","[1, 254]","[1, 167]",0.4555,0.0,0.25,0.05,-0.02
"[0, 127]","[2, 195]","[0, 128]","[4, 126]","[3, 42]","[2, 180]","[0, 111]","[3, 249]","[0, 54]","[3, 246]","[0, 149]",,0.0,0.0,,
"[3, 115]","[1, 153]","[3, 150]","[2, 22]","[0, 214]","[3, 118]","[3, 219]","[0, 48]","[4, 147]","[4, 67]","[3, 21]",,0.0,0.11,,0.33
"[1, 184]","[2, 124]","[1, 227]","[4, 71]","[4, 115]","[2, 150]","[3, 31]","[4, 200]","[3, 16]","[3, 58]","[0, 153]",,0.0,0.0,,
"[0, 158]","[4, 59]","[4, 244]","[4, 89]","[3, 127]","[1, 54]","[0, 66]","[3, 24]","[0, 182]","[2, 44]","[3, 43]",,0.0,0.0,,
"[1, 58]","[1, 229]","[0, 70]","[0, 39]","[2, 235]","[3, 205]","[1, 240]","[4, 42]","[4, 222]","[1, 28]","[4, 48]",,0.0,0.0,,
"[1, 125]","[0, 152]","[0, 174]","[2, 65]","[4, 200]","[2, 157]","[4, 215]","[0, 227]","[0, 124]","[4, 120]","[0, 133]",,0.0,0.0,,0.25
"[2, 166]","[2, 173]","[1, 20]","[3, 101]","[2, 31]","[0, 124]","[0, 165]","[2, 163]","[4, 152]","[3, 173]","[3, 31]",,0.0,0.0,,
"[2, 10]","[3, 204]","[4, 138]","[4, 147]","[1, 77]","[1, 182]","[0, 219]","[2, 156]","[4, 67]","[0, 145]","[0, 41]",,0.0,0.0,,
"[1, 99]","[1, 167]","[1, 133]","[3, 141]","[4, 32]","[4, 230]","[0, 19]","[4, 243]","[0, 142]","[4, 58]","[0, 26]",,0.0,0.0,,
"[4, 185]","[3, 64]","[2, 174]","[0, 166]","[0, 229]","[4, 63]","[4, 95]","[3, 120]","[4, 47]","[1, 236]","[4, 186]",0.885,0.0,3.47,0.04,-0.03
"[3, 16]","[4, 138]","[1, 237]","[2, 194]","[4, 216]","[2, 67]","[2, 239]","[3, 173]","[1, 160]","[2, 48]","[1, 159]",,0.0,0.0,,
"[3, 128]","[1, 245]","[3, 190]","[4, 70]","[4, 158]","[0, 119]","[1, 64]","[0, 99]","[0, 162]","[2, 198]","[3, 180]",0.6715,0.01,0.04,0.18,0.56
"[4, 82]","[4, 134]","[3, 212]","[1, 80]","[4, 163]","[0, 33]","[0, 68]","[1, 100]","[0, 116]","[4, 182]","[0, 218]",0.5985,0.0,0.0,0.07,0.33
"[4, 29]","[0, 39]","[2, 84]","[3, 175]","[2, 210]","[0, 225]","[1, 222]","[0, 85]","[2, 182]","[0, 243]","[1, 189]",,0.0,0.0,0.08,
"[4, 30]","[1, 234]","[2, 27]","[2, 176]","[1, 235]","[0, 239]","[1, 202]","[2, 154]","[4, 177]","[2, 150]","[3, 115]",0.2975,0.01,0.92,0.09,-0.03
"[1, 120]","[2, 213]","[4, 80]","[1, 239]","[4, 197]","[1, 230]","[3, 128]","[3, 154]","[3, 13]","[0, 222]","[2, 81]",,0.0,0.0,,
"[3, 185]","[3, 19]","[1, 32]","[3, 154]","[2, 215]","[4, 198]","[0, 56]","[1, 198]","[2, 252]","[3, 172]","[4, 105]",0.528,0.01,0.29,0.11,0.31
"[4, 75]","[0, 127]","[1, 246]","[3, 85]","[3, 146]","[2, 206]","[2, 122]","[3, 217]","[0, 26]","[0, 88]","[2, 117]",0.506,0.0,0.02,0.05,0.0
"[3, 103]","[0, 123]","[4, 56]","[4, 51]","[4, 99]","[1, 201]","[2, 22]","[2, 128]","[1, 244]","[2, 174]","[3, 120]",0.6905,0.02,0.09,0.28,0.59
"[0, 248]","[2, 41]","[2, 29]","[2, 212]","[4, 141]","[4, 123]","[1, 110]","[3, 61]","[2, 190]","[0, 137]","[4, 72]",,0.0,0.0,,
"[2, 249]","[1, 28]","[0, 54]","[1, 213]","[4, 121]","[4, 190]","[1, 205]","[0, 202]","[0, 136]","[2, 97]","[4, 207]",,0.0,0.0,,
"[1, 61]","[4, 197]","[2, 15]","[1, 43]","[0, 150]","[1, 241]","[3, 30]","[0, 151]","[4, 31]","[3, 114]","[0, 201]",,0.0,0.0,,
"[3, 77]","[0, 93]","[0, 168]","[3, 19]","[4, 134]","[4, 164]","[2, 31]","[1, 72]","[4, 101]","[0, 78]","[2, 139]",,0.0,0.0,0.0,
"[1, 28]","[4, 89]","[4, 114]","[4, 31]","[1, 40]","[1, 172]","[4, 73]","[1, 201]","[1, 138]","[1, 13]","[4, 186]",,0.0,0.0,,
"[2, 103]","[3, 153]","[2, 205]","[1, 251]","[1, 69]","[1, 229]","[0, 112]","[3, 88]","[3, 160]","[0, 167]","[2, 150]",,0.0,0.0,,
"[1, 36]","[2, 146]","[0, 36]","[0, 233]","[3, 149]","[2, 28]","[1, 94]","[3, 85]","[3, 196]","[3, 106]","[3, 220]",,0.0,0.0,,
"[4, 119]","[3, 185]","[4, 37]","[4, 54]","[3, 200]","[1, 164]","[4, 92]","[1, 187]","[2, 164]","[3, 83]","[1, 25]",0.578,0.01,0.03,0.07,0.29
"[2, 210]","[0, 33]","[2, 173]","[2, 138]","[1, 164]","[2, 163]","[2, 20]","[3, 97]","[2, 112]","[4, 81]","[4, 162]",,0.0,0.0,,
"[0, 243]","[0, 155]","[3, 57]","[3, 113]","[4, 51]","[3, 190]","[1, 136]","[1, 47]","[0, 85]","[1, 244]","[0, 72]",,0.0,0.0,,
"[3, 119]","[1, 170]","[2, 114]","[0, 17]","[2, 12]","[0, 77]","[3, 20]","[4, 149]","[1, 81]","[2, 74]","[3, 206]",,0.0,0.0,,
"[2, 144]","[3, 109]","[4, 144]","[0, 238]","[3, 248]","[3, 246]","[4, 225]","[0, 61]","[1, 156]","[4, 187]","[0, 213]",,0.0,0.0,,0.26
"[3, 17]","[4, 216]","[0, 181]","[3, 71]","[0, 93]","[2, 118]","[1, 244]","[0, 12]","[0, 107]","[4, 84]","[1, 85]",,0.0,0.0,,
"[3, 41]","[2, 147]","[4, 101]","[4, 176]","[2, 67]","[1, 123]","[4, 213]","[4, 198]","[2, 228]","[1, 59]","[3, 39]",,0.0,0.0,,0.04
"[3, 230]","[0, 228]","[2, 162]","[4, 51]","[4, 100]","[0, 51]","[2, 186]","[0, 10]","[0, 136]","[3, 13]","[1, 222]",0.5445,0.0,0.0,0.09,0.09
"[4, 214]","[4, 194]","[4, 171]","[3, 76]","[4, 141]","[1, 162]","[0, 123]","[4, 76]","[4, 229]","[3, 147]","[3, 203]",0.47150000000000003,0.0,0.24,0.05,0.08
"[2, 79]","[4, 71]","[0, 190]","[1, 192]","[3, 81]","[4, 218]","[1, 152]","[0, 17]","[4, 186]","[2, 247]","[2, 124]",,0.0,0.0,,
"[2, 223]","[4, 109]","[4, 58]","[1, 188]","[2, 93]","[4, 36]","[3, 94]","[4, 154]","[2, 44]","[4, 246]","[0, 158]",,0.0,0.03,,0.54
"[2, 130]","[1, 188]","[2, 222]","[3, 31]","[3, 90]","[0, 88]","[4, 84]","[4, 104]","[4, 251]","[1, 45]","[0, 101]",,0.0,0.0,,0.0
"[1, 20]","[0, 89]","[4, 207]","[0, 178]","[2, 241]","[2, 78]","[4, 17]","[2, 195]","[3, 189]","[4, 205]","[2, 219]",,0.0,0.03,,0.38
"[1, 13]","[0, 22]","[4, 220]","[0, 67]","[2, 93]","[3, 164]","[4, 104]","[2, 142]","[1, 167]","[0, 250]","[1, 201]",1.0,0.0,0.0,1.0,1.0
"[4, 238]","[4, 222]","[4, 66]","[1, 220]","[3, 166]","[0, 123]","[3, 118]","[1, 144]","[2, 149]","[1, 110]","[0, 107]",1.0,0.0,0.0,1.0,1.0
"[0, 79]","[1, 242]","[2, 188]","[2, 213]","[1, 97]","[1, 169]","[0, 94]","[0, 243]","[2, 236]","[2, 40]","[0, 25]",,0.0,0.0,,
"[1, 211]","[1, 203]","[0, 128]","[4, 137]","[2, 243]","[2, 157]","[2, 212]","[2, 228]","[4, 175]","[1, 207]","[1, 208]",,0.0,0.0,,
"[0, 203]","[3, 214]","[1, 118]","[3, 40]","[0, 186]","[2, 102]","[2, 18]","[0, 134]","[4, 225]","[3, 62]","[1, 103]",,0.0,0.0,,
"[1, 159]","[2, 82]","[0, 153]","[1, 217]","[2, 194]","[4, 132]","[4, 11]","[4, 51]","[3, 179]","[0, 94]","[0, 117]",,0.0,0.0,,
"[4, 25]","[1, 103]","[2, 224]","[0, 213]","[2, 84]","[0, 139]","[2, 197]","[0, 207]","[4, 62]","[3, 44]","[2, 119]",,0.0,0.0,,
"[3, 192]","[4, 27]","[0, 203]","[1, 144]","[3, 188]","[4, 86]","[2, 175]","[0, 215]","[2, 65]","[4, 58]","[3, 32]",0.6835,0.0,0.0,0.16,0.57
"[4, 132]","[3, 27]","[2, 236]","[4, 157]","[1, 15]","[1, 77]","[3, 209]","[2, 107]","[2, 161]","[3, 119]","[1, 190]",0.567,0.0,0.0,0.04,0.23
"[2, 46]","[3, 75]","[1, 90]","[0, 107]","[4, 183]","[1, 193]","[4, 239]","[2, 62]","[1, 160]","[0, 197]","[3, 64]",,0.0,0.0,,0.05
"[0, 221]","[1, 197]","[2, 20]","[1, 21]","[2, 80]","[4, 235]","[2, 142]","[0, 180]","[0, 190]","[2, 231]","[2, 18]",,0.0,0.0,,
"[2, 167]","[2, 125]","[2, 81]","[0, 135]","[2, 195]","[1, 168]","[1, 82]","[3, 213]","[2, 111]","[3, 149]","[1, 67]",,0.0,0.0,,
"[3, 254]","[4, 33]","[1, 115]","[4, 24]","[0, 240]","[3, 11]","[4, 92]","[0, 16]","[0, 26]","[1, 67]","[2, 252]",0.53,0.0,0.0,0.06,0.06
"[0, 144]","[1, 38]","[1, 54]","[2, 102]","[4, 125]","[3, 207]","[3, 116]","[3, 124]","[1, 176]","[1, 43]","[1, 73]",,0.0,0.0,,
"[3, 17]","[0, 41]","[3, 135]","[4, 144]","[0, 152]","[3, 28]","[2, 29]","[2, 90]","[0, 184]","[4, 104]","[3, 41]",,0.0,0.0,,
"[2, 231]","[3, 127]","[0, 155]","[1, 38]","[1, 210]","[4, 196]","[3, 11]","[0, 122]","[0, 106]","[1, 114]","[4, 237]",,0.0,0.0,,
"[4, 35]","[0, 55]","[4, 219]","[4, 94]","[2, 150]","[0, 203]","[0, 136]","[2, 207]","[1, 244]","[1, 175]","[0, 82]",0.537,0.0,0.0,0.07,0.08
"[4, 252]","[1, 132]","[1, 249]","[0, 155]","[3, 127]","[4, 53]","[0, 173]","[0, 38]","[2, 39]","[3, 214]","[4, 28]",0.567,0.01,0.1,0.07,0.31
"[4, 60]","[4, 92]","[2, 203]","[0, 121]","[4, 63]","[2, 246]","[4, 214]","[0, 83]","[4, 42]","[0, 20]","[2, 60]",,0.0,0.0,,
"[2, 216]","[0, 182]","[1, 98]","[1, 30]","[1, 196]","[0, 85]","[1, 145]","[3, 216]","[1, 72]","[1, 95]","[4, 122]",,0.0,0.0,,
"[3, 196]","[4, 122]","[3, 107]","[3, 239]","[1, 180]","[3, 33]","[4, 211]","[2, 225]","[1, 46]","[1, 65]","[2, 220]",0.535,0.0,0.0,0.08,0.07
"[1, 183]","[1, 101]","[4, 206]","[3, 103]","[4, 114]","[4, 75]","[0, 230]","[3, 18]","[4, 134]","[1, 216]","[3, 163]",,0.0,0.0,,
"[3, 109]","[3, 16]","[2, 209]","[2, 159]","[1, 243]","[3, 109]","[0, 61]","[4, 167]","[4, 79]","[2, 149]","[1, 218]",0.5589999999999999,0.41,0.16,0.24,0.57
"[3, 36]","[0, 157]","[0, 162]","[0, 253]","[1, 11]","[2, 239]","[3, 245]","[0, 143]","[0, 67]","[0, 51]","[2, 57]",,0.0,0.0,,
"[2, 192]","[3, 127]","[2, 188]","[0, 144]","[0, 250]","[3, 13]","[0, 235]","[3, 230]","[2, 169]","[0, 42]","[0, 168]",,0.0,0.0,,
"[3, 219]","[4, 50]","[3, 229]","[2, 71]","[4, 18]","[3, 136]","[0, 227]","[0, 83]","[0, 54]","[0, 59]","[0, 12]",,0.0,0.0,0.08,
"[3, 124]","[3, 143]","[4, 245]","[3, 235]","[1, 63]","[4, 190]","[3, 170]","[2, 214]","[4, 175]","[0, 28]","[4, 12]",,0.01,0.0,0.14,
"[2, 10]","[1, 168]","[0, 48]","[0, 206]","[0, 211]","[4, 114]","[4, 211]","[4, 179]","[2, 184]","[1, 250]","[3, 172]",,0.0,0.53,,0.09
"[2, 183]","[3, 189]","[0, 61]","[2, 162]","[0, 133]","[3, 108]","[3, 104]","[4, 91]","[3, 190]","[1, 143]","[4, 94]",,0.0,0.0,,
"[3, 42]","[2, 20]","[2, 199]","[4, 26]","[4, 106]","[1, 220]","[1, 182]","[2, 59]","[0, 210]","[4, 219]","[2, 124]",,0.0,0.0,,
"[1, 100]","[4, 206]","[4, 215]","[4, 234]","[4, 90]","[2, 73]","[3, 183]","[4, 30]","[0, 44]","[0, 50]","[2, 242]",,0.0,0.0,,
"[0, 43]","[1, 32]","[1, 202]","[2, 169]","[1, 129]","[3, 203]","[0, 47]","[3, 216]","[2, 139]","[0, 144]","[3, 162]",,0.0,0.0,,
"[3, 129]","[2, 227]","[4, 243]","[1, 202]","[2, 161]","[2, 15]","[2, 77]","[3, 215]","[3, 107]","[2, 157]","[3, 144]",,0.0,0.0,0.04,
"[2, 168]","[4, 146]","[4, 104]","[1, 167]","[2, 97]","[0, 46]","[4, 111]","[3, 57]","[1, 139]","[2, 25]","[0, 236]",,0.0,0.0,,0.05
"[1, 37]","[3, 62]","[0, 189]","[4, 228]","[1, 152]","[2, 79]","[3, 139]","[1, 143]","[4, 107]","[0, 44]","[1, 122]",,0.0,0.0,,
"[1, 138]","[3, 111]","[3, 116]","[4, 97]","[4, 49]","[2, 35]","[2, 234]","[1, 60]","[4, 43]","[0, 122]","[4, 168]",,0.0,0.0,,
"[0, 135]","[3, 184]","[3, 175]","[3, 210]","[3, 24]","[0, 111]","[0, 78]","[1, 180]","[0, 132]","[4, 157]","[2, 229]",,0.0,0.0,,
"[3, 174]","[3, 63]","[4, 79]","[4, 62]","[4, 202]","[0, 65]","[2, 194]","[0, 169]","[1, 232]","[4, 244]","[3, 78]",0.6605,0.0,0.0,0.12,0.52
"[2, 209]","[2, 69]","[4, 172]","[0, 244]","[3, 213]","[0, 138]","[4, 32]","[0, 136]","[2, 164]","[4, 210]","[4, 42]",,0.0,0.0,,0.35
"[4, 173]","[1, 170]","[3, 159]","[3, 57]","[0, 196]","[3, 222]","[4, 32]","[3, 70]","[2, 251]","[3, 84]","[1, 73]",0.539,0.23,0.0,0.09,0.29
"[0, 96]","[4, 60]","[2, 66]","[0, 85]","[4, 107]","[0, 236]","[4, 144]","[3, 138]","[3, 163]","[0, 136]","[4, 147]",,0.0,0.0,,0.0
"[4, 180]","[2, 242]","[2, 128]","[4, 92]","[1, 124]","[1, 111]","[2, 159]","[1, 47]","[3, 93]","[2, 156]","[4, 158]",0.397,0.01,0.66,0.05,0.2
"[3, 197]","[0, 94]","[3, 84]","[1, 162]","[4, 84]","[0, 102]","[4, 18]","[4, 107]","[0, 108]","[3, 196]","[1, 67]",0.655,0.18,0.0,0.31,0.49
"[4, 200]","[1, 195]","[0, 164]","[0, 141]","[0, 18]","[4, 166]","[2, 48]","[0, 34]","[0, 168]","[0, 66]","[3, 68]",,0.0,0.0,0.02,
"[4, 64]","[2, 121]","[2, 70]","[4, 228]","[1, 142]","[2, 201]","[3, 227]","[0, 15]","[2, 24]","[1, 122]","[2, 147]",0.5135,0.01,0.0,0.06,0.0
"[1, 18]","[4, 75]","[2, 63]","[3, 196]","[2, 183]","[4, 194]","[1, 162]","[1, 105]","[4, 164]","[1, 49]","[3, 193]",,0.0,0.0,,
"[0, 30]","[2, 190]","[0, 253]","[3, 18]","[4, 91]","[1, 193]","[0, 26]","[2, 200]","[0, 254]","[4, 87]","[0, 167]",,0.0,0.0,,
"[2, 35]","[1, 180]","[0, 80]","[3, 195]","[3, 193]","[0, 119]","[0, 218]","[4, 149]","[2, 23]","[3, 139]","[1, 142]",,0.0,0.0,,
"[3, 21]","[1, 111]","[1, 24]","[2, 177]","[0, 147]","[0, 221]","[2, 89]","[0, 175]","[4, 128]","[4, 149]","[3, 79]",,0.0,0.0,,
"[0, 78]","[1, 236]","[4, 74]","[3, 118]","[4, 194]","[0, 186]","[3, 78]","[3, 216]","[0, 175]","[1, 69]","[3, 221]",,0.0,0.0,,
"[2, 230]","[3, 56]","[3, 139]","[2, 233]","[1, 145]","[1, 205]","[3, 21]","[4, 142]","[3, 21]","[1, 117]","[2, 164]",,0.0,0.0,,
"[3, 126]","[1, 174]","[3, 117]","[3, 148]","[1, 83]","[1, 55]","[1, 242]","[3, 168]","[0, 111]","[1, 142]","[4, 90]",0.624,0.0,0.02,0.13,0.38
"[3, 187]","[3, 143]","[2, 43]","[0, 209]","[3, 242]","[4, 98]","[3, 46]","[3, 164]","[0, 139]","[3, 107]","[3, 163]",,0.0,0.0,,
"[3, 200]","[3, 232]","[2, 158]","[3, 156]","[1, 132]","[1, 42]","[1, 208]","[3, 95]","[0, 15]","[3, 91]","[0, 64]",0.6194999999999999,0.0,0.0,0.08,0.4
"[2, 108]","[4, 132]","[3, 163]","[3, 245]","[0, 222]","[3, 209]","[0, 98]","[2, 38]","[2, 97]","[1, 37]","[0, 242]",,0.0,0.0,,
"[2, 172]","[0, 168]","[1, 63]","[4, 232]","[4, 102]","[3, 80]","[3, 248]","[4, 98]","[4, 23]","[4, 222]","[3, 99]",,0.0,0.0,,0.3
"[0, 228]","[4, 97]","[3, 236]","[4, 102]","[3, 251]","[2, 249]","[1, 31]","[1, 85]","[0, 162]","[0, 193]","[4, 86]",,0.0,0.0,,
"[3, 166]","[2, 223]","[1, 251]","[4, 68]","[3, 103]","[1, 125]","[1, 57]","[3, 247]","[0, 20]","[4, 74]","[4, 69]",0.6535,0.0,0.0,0.11,0.5
"[1, 54]","[0, 10]","[0, 46]","[0, 126]","[0, 88]","[4, 134]","[1, 220]","[4, 173]","[4, 149]","[4, 253]","[4, 87]",,0.0,0.0,,
"[0, 125]","[1, 55]","[3, 162]","[0, 66]","[3, 200]","[0, 213]","[4, 92]","[0, 130]","[0, 35]","[0, 58]","[0, 246]",,0.0,0.0,,
"[1, 75]","[1, 104]","[3, 109]","[0, 50]","[4, 130]","[0, 21]","[0, 208]","[1, 227]","[2, 214]","[3, 153]","[2, 115]",,0.0,0.0,,
"[2, 59]","[4, 99]","[3, 73]","[1, 169]","[3, 24]","[1, 155]","[0, 151]","[2, 230]","[4, 80]","[0, 45]","[0, 144]",,0.0,0.0,,
"[1, 186]","[1, 132]","[2, 19]","[0, 28]","[1, 15]","[0, 118]","[2, 90]","[2, 181]","[4, 135]","[1, 53]","[1, 98]",,0.0,0.0,,
"[0, 228]","[2, 124]","[4, 127]","[1, 148]","[1, 85]","[4, 159]","[1, 124]","[2, 206]","[3, 182]","[4, 206]","[2, 171]",,0.0,0.0,,
"[0, 253]","[0, 168]","[4, 165]","[0, 115]","[3, 206]","[1, 141]","[1, 15]","[4, 162]","[2, 224]","[0, 62]","[4, 61]",,0.0,0.0,,
"[4, 248]","[0, 210]","[3, 141]","[3, 170]","[0, 100]","[1, 22]","[2, 124]","[4, 104]","[1, 249]","[2, 146]","[1, 180]",0.5660000000000001,0.0,0.0,0.02,0.24
"[2, 136]","[3, 254]","[0, 207]","[0, 141]","[4, 64]","[4, 215]","[4, 177]","[1, 153]","[0, 28]","[1, 23]","[3, 236]",,0.0,0.0,,0.0
"[4, 38]","[3, 196]","[0, 136]","[1, 51]","[2, 117]","[0, 209]","[0, 174]","[1, 253]","[1, 111]","[2, 148]","[4, 80]",0.706,0.05,0.0,0.32,0.56
"[3, 89]","[4, 93]","[3, 199]","[3, 36]","[3, 37]","[3, 18]","[2, 200]","[2, 102]","[0, 79]","[0, 70]","[2, 170]",,0.0,0.0,0.19,
"[3, 83]","[0, 136]","[4, 110]","[0, 59]","[2, 76]","[3, 119]","[1, 240]","[1, 62]","[1, 67]","[0, 226]","[2, 129]",,0.0,0.0,,
"[2, 70]","[1, 229]","[2, 69]","[0, 192]","[4, 153]","[1, 229]","[0, 240]","[4, 195]","[1, 134]","[0, 12]","[0, 187]",,0.0,0.0,,
"[1, 115]","[2, 160]","[1, 113]","[2, 62]","[4, 184]","[2, 200]","[1, 31]","[4, 171]","[1, 115]","[2, 54]","[3, 147]",,0.0,0.0,,
"[4, 72]","[3, 248]","[1, 251]","[0, 140]","[0, 130]","[3, 172]","[2, 63]","[2, 186]","[1, 231]","[4, 223]","[1, 146]",,0.0,0.0,0.02,
"[0, 150]","[1, 28]","[0, 214]","[0, 170]","[4, 179]","[2, 71]","[2, 231]","[0, 17]","[2, 198]","[4, 125]","[3, 107]",,0.0,0.0,,
"[1, 197]","[4, 54]","[3, 241]","[4, 17]","[0, 251]","[4, 139]","[4, 187]","[4, 19]","[0, 164]","[4, 214]","[3, 189]",,0.0,0.0,,0.27
"[1, 151]","[2, 82]","[4, 28]","[1, 27]","[2, 180]","[4, 169]","[0, 51]","[0, 51]","[1, 24]","[3, 228]","[3, 135]",,0.0,0.0,,
"[1, 122]","[2, 237]","[1, 222]","[4, 111]","[4, 240]","[4, 136]","[3, 224]","[4, 127]","[3, 177]","[1, 121]","[3, 22]",,0.0,0.0,,
"[4, 198]","[4, 176]","[4, 180]","[3, 143]","[2, 88]","[1, 203]","[4, 143]","[3, 194]","[1, 113]","[3, 186]","[4, 109]",0.5825,0.01,0.03,0.07,0.31
"[0, 10]","[1, 45]","[0, 223]","[1, 244]","[3, 155]","[2, 81]","[4, 27]","[4, 182]","[2, 196]","[3, 64]","[4, 48]",,0.0,0.35,,0.15
"[0, 13]","[1, 22]","[0, 92]","[4, 192]","[2, 204]","[1, 141]","[2, 43]","[2, 127]","[2, 34]","[0, 149]","[2, 131]",,0.0,0.0,,
