PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[3, 19]","[2, 19]","[4, 174]","[4, 51]","[2, 132]","[2, 108]","[2, 86]","[0, 71]","[1, 187]","[4, 142]","[0, 94]",1.0,
"[3, 203]","[2, 208]","[4, 123]","[4, 10]","[2, 147]","[2, 154]","[2, 179]","[0, 72]","[1, 206]","[4, 33]","[0, 176]",0.838,0.226
"[3, 119]","[2, 105]","[4, 245]","[4, 51]","[2, 21]","[2, 143]","[2, 254]","[0, 246]","[1, 92]","[4, 64]","[0, 10]",0.788,0.256
